sortie,service,direct_feasible,direct_min_clearance_m,direct_distance_m,relay_needed,relay_feasible,relay_fraction,relay_height_offset_m,relay_ground_m,total_distance_m,total_time_s,total_energy_kwh,threshold_direct_db,threshold_access_db,threshold_backhaul_db,direct_unknown
Q2-001,S001,False,-27.30889242386695,3066.0237796488123,True,True,0.5,200.0,152.0780792236328,3079.0477884361276,205.26985256240852,2.9918900600105,122.0,116.0,126.0,False
Q2-002,S001,False,-27.30889242386695,3066.0237796488123,True,True,0.5,200.0,152.0780792236328,3079.0477884361276,205.26985256240852,3.0703163342755997,122.0,116.0,126.0,False
Q2-003,S002,False,-35.22865910063712,7437.274724466337,True,True,0.5,300.0,184.5447540283203,7454.775839297505,496.985055953167,2.5274877615341715,122.0,116.0,126.0,False
Q2-004,S002,False,-35.22865910063712,7437.274724466337,True,True,0.5,300.0,184.5447540283203,7454.775839297505,496.985055953167,6.4597217341197135,122.0,116.0,126.0,False
Q2-005,S003,False,-173.79395027519848,7273.526148506828,True,True,0.5,100.0,447.5720520019531,7283.384813983985,485.55898759893233,2.5787805957856946,122.0,116.0,126.0,False
Q2-006,S003,False,-173.79395027519848,7273.526148506828,True,True,0.5,100.0,447.5720520019531,7283.384813983985,485.55898759893233,6.47796038410841,122.0,116.0,126.0,False
Q2-007,S004,False,-22.091858299072015,7749.731944177569,True,True,0.5,200.0,199.10415649414062,7753.82320878845,516.9215472525633,6.342061181194174,122.0,116.0,126.0,False
Q2-008,S005,False,-15.23296608021883,5305.033377635107,True,True,0.25,100.0,137.31773376464844,5306.042729082964,353.73618193886426,4.351780858218792,122.0,116.0,126.0,False
Q2-009,S006,False,-29.689999677110876,3188.5123410735764,True,True,0.25,100.0,214.98760986328125,3198.9911455393276,213.2660763692885,2.662098694185744,122.0,116.0,126.0,False
Q2-010,S007,False,-49.37421220232176,4548.696434715966,True,True,0.5,200.0,286.2146301269531,4559.239337775966,303.9492891850644,3.5077255708101047,122.0,116.0,126.0,False
Q2-011,S008,False,-52.39020213021223,8112.711210308115,True,True,0.5,100.0,284.017822265625,8116.424867486641,541.094991165776,6.030425603927181,122.0,116.0,126.0,False
Q2-012,S009,False,-39.065683164401406,5724.702733116061,True,True,0.25,100.0,164.6157684326172,5727.437280814665,381.829152054311,2.2244899738238577,122.0,116.0,126.0,False
Q2-013,S010,False,-82.81785785353748,4787.287403101847,True,True,0.25,100.0,246.3290557861328,4795.839953588353,319.7226635725568,1.9232449690388178,122.0,116.0,126.0,False
Q2-014,S011,False,-11.707880416817545,2821.0545774003726,True,True,0.5,100.0,181.2503662109375,2823.557201701241,188.23714678008272,1.1373166096478302,122.0,116.0,126.0,False
Q2-015,S012,False,-111.59706776412713,7403.874617160693,True,True,0.5,300.0,220.26963806152344,7419.039987179694,494.60266581197965,2.9134699969208535,122.0,116.0,126.0,False
Q2-016,S013,False,-20.718105567993575,4855.520937318468,True,True,0.25,100.0,214.16336059570312,4860.891203460955,324.0594135640637,1.9281936954372842,122.0,116.0,126.0,False
Q2-017,S014,False,-84.3048424715717,5429.057667689826,True,True,0.5,200.0,355.21295166015625,5441.718355459977,362.78122369733177,2.25317204915582,122.0,116.0,126.0,False
Q2-018,S015,False,-52.245719600389236,6034.426320860776,True,True,0.5,300.0,270.958984375,6048.927131274912,403.26180875166085,2.4398640717898497,122.0,116.0,126.0,False
