sortie_id,service_area,relay_id,relay_candidate_id,relay_position,transport_to_relay_distance_m,relay_to_target_distance_m,min_clearance_m,min_link_margin_db,certification_pass,distance_basis
Q2-001,S001,R02,R02,fraction=0.500000;height_offset=200.000m,1533.0118898244061,1533.0118898244061,18.974459838867176,9.165491441244,True,certified fraction x direct geometric distance
Q2-002,S001,R01,R01,fraction=0.500000;height_offset=200.000m,1533.0118898244061,1533.0118898244061,18.974459838867176,9.165491441244,True,certified fraction x direct geometric distance
Q2-003,S002,R01,R01,fraction=0.250000;height_offset=200.000m,1859.3186811165842,5577.956043349753,18.178301250349307,7.504235790112659,True,certified fraction x direct geometric distance
Q2-004,S002,R02,R02,fraction=0.250000;height_offset=200.000m,1859.3186811165842,5577.956043349753,18.178301250349307,7.504235790112659,True,certified fraction x direct geometric distance
Q2-005,S003,R02,R02,fraction=0.500000;height_offset=100.000m,3636.763074253414,3636.763074253414,3.4349339425986045,1.6932166243123845,True,certified fraction x direct geometric distance
Q2-006,S003,R02,R02,fraction=0.500000;height_offset=100.000m,3636.763074253414,3636.763074253414,3.4349339425986045,1.6932166243123845,True,certified fraction x direct geometric distance
Q2-007,S004,R02,R02,fraction=0.500000;height_offset=200.000m,3874.8659720887845,3874.8659720887845,11.0593126423679,1.1669205098032194,True,certified fraction x direct geometric distance
Q2-008,S005,R01,R01,fraction=0.250000;height_offset=100.000m,1326.2583444087768,3978.7750332263304,6.639010301426367,10.478336839412025,True,certified fraction x direct geometric distance
Q2-009,S006,R01,R01,fraction=0.250000;height_offset=100.000m,797.1280852683941,2391.3842558051824,18.974459838867176,14.747591227785492,True,certified fraction x direct geometric distance
Q2-010,S007,R01,R01,fraction=0.750000;height_offset=100.000m,3411.522326036974,1137.1741086789914,16.00218849170355,2.253844766591825,True,certified fraction x direct geometric distance
Q2-011,S008,R01,R01,fraction=0.250000;height_offset=100.000m,2028.1778025770288,6084.533407731086,13.614377470447778,6.784860233712919,True,certified fraction x direct geometric distance
Q2-012,S009,R02,R02,fraction=0.250000;height_offset=100.000m,1431.1756832790152,4293.5270498370455,3.0446783157242407,9.805818258585177,True,certified fraction x direct geometric distance
Q2-013,S010,R01,R01,fraction=0.250000;height_offset=100.000m,1196.8218507754618,3590.4655523263855,2.478950800202938,11.282497481999798,True,certified fraction x direct geometric distance
Q2-014,S011,R02,R02,fraction=0.500000;height_offset=100.000m,1410.5272887001863,1410.5272887001863,6.523190306337824,9.931195318460496,True,certified fraction x direct geometric distance
Q2-015,S012,R01,R01,fraction=0.250000;height_offset=200.000m,1850.9686542901732,5552.90596287052,17.08242182631065,7.543699700767817,True,certified fraction x direct geometric distance
Q2-016,S013,R01,R01,fraction=0.250000;height_offset=100.000m,1213.880234329617,3641.640702988851,12.705417572507429,11.192795460128169,True,certified fraction x direct geometric distance
Q2-017,S014,R02,R02,fraction=0.500000;height_offset=200.000m,2714.528833844913,2714.528833844913,5.528085231438496,4.203628135381834,True,certified fraction x direct geometric distance
Q2-018,S015,R01,R01,fraction=0.500000;height_offset=300.000m,3017.213160430388,3017.213160430388,4.964872174212303,3.2901091785171275,True,certified fraction x direct geometric distance
