box_id,service_area,material_type,hard_deadline,K18_late,K19_late,K20_late,K21_late,K22_late,K23_late,K24_late,K25_late,K26_late,K27_late,K28_late,K29_late,K30_late
S003-MED-01,S003,医疗物资,7200.0,True,True,True,True,True,True,True,True,True,True,True,True,True
S003-WAT-01,S003,饮用水,7200.0,True,True,True,True,True,True,True,True,True,True,True,True,True
S004-MED-01,S004,医疗物资,7200.0,True,True,True,True,True,True,True,True,True,True,True,True,True
S004-WAT-01,S004,饮用水,7200.0,True,True,True,True,True,True,True,True,True,True,True,True,True
S005-MED-01,S005,医疗物资,10800.0,True,True,True,True,True,True,True,True,True,True,True,True,True
S005-WAT-01,S005,饮用水,10800.0,True,True,True,True,True,True,True,True,True,True,True,True,True
S007-MED-01,S007,医疗物资,3600.0,True,True,True,True,True,True,True,True,True,True,True,True,True
S007-WAT-01,S007,饮用水,3600.0,True,True,True,True,True,True,True,True,True,True,True,True,True
S008-MED-01,S008,医疗物资,7200.0,True,True,True,True,True,True,True,True,True,True,True,True,True
S008-WAT-01,S008,饮用水,7200.0,True,True,True,True,True,True,True,True,True,True,True,True,True
S009-MED-01,S009,医疗物资,10800.0,True,True,True,True,True,True,True,True,True,True,True,True,True
S009-WAT-01,S009,饮用水,10800.0,True,True,True,True,True,True,True,True,True,True,True,True,True
S010-MED-01,S010,医疗物资,3600.0,True,True,True,True,True,True,True,True,True,True,True,True,True
S010-WAT-01,S010,饮用水,3600.0,True,True,True,True,True,True,True,True,True,True,True,True,True
S011-MED-01,S011,医疗物资,10800.0,True,True,True,True,True,True,True,True,True,True,True,True,True
S011-WAT-01,S011,饮用水,10800.0,True,True,True,True,True,True,True,True,True,True,True,True,True
S012-MED-01,S012,医疗物资,3600.0,True,True,True,True,True,True,True,True,True,True,True,True,True
S012-WAT-01,S012,饮用水,3600.0,True,True,True,True,True,True,True,True,True,True,True,True,True
S013-MED-01,S013,医疗物资,3600.0,True,True,True,True,True,True,True,True,True,True,True,True,True
S013-WAT-01,S013,饮用水,3600.0,True,True,True,True,True,True,True,True,True,True,True,True,True
S014-MED-01,S014,医疗物资,3600.0,True,True,True,True,True,True,True,True,True,True,True,True,True
S014-WAT-01,S014,饮用水,3600.0,True,True,True,True,True,True,True,True,True,True,True,True,True
S015-MED-01,S015,医疗物资,7200.0,True,True,True,True,True,True,True,True,True,True,True,True,True
S015-WAT-01,S015,饮用水,10800.0,True,True,True,True,True,True,True,True,True,True,True,True,True
