from_node,to_node,drone_type,communication_possible,worst_margin,relay_required,relay_required_duration,candidate_count,pipeline_called,evaluation_status,scenario,delta_backhaul_db,pipeline_sha256
O01,S001,C,True,inf,False,0.0,0,True,COMPLETED,FEASIBILITY_RESTORED_0P1DB,0.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S002,C,False,-1.0449936776191464,True,540.4288850471266,2,True,COMPLETED,FEASIBILITY_RESTORED_0P1DB,0.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S003,C,False,-0.8285638267358166,True,595.7673005341182,2,True,COMPLETED,FEASIBILITY_RESTORED_0P1DB,0.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S004,C,True,4.185182638468788,True,601.3483215370765,2,True,COMPLETED,FEASIBILITY_RESTORED_0P1DB,0.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S005,C,True,7.477418817803681,True,419.17360449933994,2,True,COMPLETED,FEASIBILITY_RESTORED_0P1DB,0.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S006,C,True,inf,False,0.0,0,True,COMPLETED,FEASIBILITY_RESTORED_0P1DB,0.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S007,C,True,8.836081683362565,True,384.00904967395354,2,True,COMPLETED,FEASIBILITY_RESTORED_0P1DB,0.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S008,C,True,3.7863702057398427,True,591.6436458583589,2,True,COMPLETED,FEASIBILITY_RESTORED_0P1DB,0.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S009,C,True,1.3385510133129799,True,413.1379677179687,2,True,COMPLETED,FEASIBILITY_RESTORED_0P1DB,0.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S010,C,True,2.918482904678413,True,360.5929632764516,2,True,COMPLETED,FEASIBILITY_RESTORED_0P1DB,0.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S011,C,True,inf,False,0.0,0,True,COMPLETED,FEASIBILITY_RESTORED_0P1DB,0.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S012,C,False,-0.9784632899513781,True,560.0244373664972,2,True,COMPLETED,FEASIBILITY_RESTORED_0P1DB,0.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S013,C,True,8.253309043575541,True,347.0078498253268,2,True,COMPLETED,FEASIBILITY_RESTORED_0P1DB,0.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S014,C,True,1.7176137743184654,True,481.19711154928655,2,True,COMPLETED,FEASIBILITY_RESTORED_0P1DB,0.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S015,C,True,0.8907832725306122,True,449.9499632254072,2,True,COMPLETED,FEASIBILITY_RESTORED_0P1DB,0.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S001,O01,C,True,inf,False,0.0,0,True,COMPLETED,FEASIBILITY_RESTORED_0P1DB,0.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S001,S002,C,False,-1.0449936776191464,True,336.55202615867427,2,True,COMPLETED,FEASIBILITY_RESTORED_0P1DB,0.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S001,S003,C,False,-0.8285638267358166,True,618.5126900245111,2,True,COMPLETED,FEASIBILITY_RESTORED_0P1DB,0.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S001,S004,C,True,8.077872768647865,True,420.0664304303024,2,True,COMPLETED,FEASIBILITY_RESTORED_0P1DB,0.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S001,S005,C,True,11.920214911402752,True,256.26692439567444,2,True,COMPLETED,FEASIBILITY_RESTORED_0P1DB,0.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S001,S006,C,True,inf,False,0.0,0,True,COMPLETED,FEASIBILITY_RESTORED_0P1DB,0.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S001,S007,C,True,7.678828284435028,True,390.6433711715745,2,True,COMPLETED,FEASIBILITY_RESTORED_0P1DB,0.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S001,S008,C,True,6.426894086681088,True,446.84063521277835,2,True,COMPLETED,FEASIBILITY_RESTORED_0P1DB,0.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S001,S009,C,True,1.3385510133129799,True,208.90374591489638,2,True,COMPLETED,FEASIBILITY_RESTORED_0P1DB,0.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
