from_node,to_node,drone_type,communication_possible,worst_margin,relay_required,relay_required_duration,candidate_count,pipeline_called,evaluation_status,scenario,delta_backhaul_db,pipeline_sha256,evaluation_mode
O01,S001,C,True,inf,False,0.0,0,True,COMPLETED,FEASIBILITY_RESTORED_1P1DB,1.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb,POINTWISE_RESTORATION_DELTA_APPLIED
O01,S002,C,True,1.322380853485683e-06,True,540.4288850471266,2,True,COMPLETED,FEASIBILITY_RESTORED_1P1DB,1.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb,POINTWISE_RESTORATION_DELTA_APPLIED
O01,S003,C,True,0.21643117326418326,True,595.7673005341182,2,True,COMPLETED,FEASIBILITY_RESTORED_1P1DB,1.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb,POINTWISE_RESTORATION_DELTA_APPLIED
O01,S004,C,True,5.230177638468788,True,601.3483215370765,2,True,COMPLETED,FEASIBILITY_RESTORED_1P1DB,1.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb,POINTWISE_RESTORATION_DELTA_APPLIED
O01,S005,C,True,8.522413817803681,True,419.17360449934,2,True,COMPLETED,FEASIBILITY_RESTORED_1P1DB,1.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb,POINTWISE_RESTORATION_DELTA_APPLIED
O01,S006,C,True,inf,False,0.0,0,True,COMPLETED,FEASIBILITY_RESTORED_1P1DB,1.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb,POINTWISE_RESTORATION_DELTA_APPLIED
O01,S007,C,True,9.881076683362565,True,384.0090496739536,2,True,COMPLETED,FEASIBILITY_RESTORED_1P1DB,1.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb,POINTWISE_RESTORATION_DELTA_APPLIED
O01,S008,C,True,4.831365205739842,True,591.6436458583589,2,True,COMPLETED,FEASIBILITY_RESTORED_1P1DB,1.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb,POINTWISE_RESTORATION_DELTA_APPLIED
O01,S009,C,True,2.38354601331298,True,413.1379677179687,2,True,COMPLETED,FEASIBILITY_RESTORED_1P1DB,1.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb,POINTWISE_RESTORATION_DELTA_APPLIED
O01,S010,C,True,3.963477904678413,True,360.5929632764516,2,True,COMPLETED,FEASIBILITY_RESTORED_1P1DB,1.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb,POINTWISE_RESTORATION_DELTA_APPLIED
O01,S011,C,True,inf,False,0.0,0,True,COMPLETED,FEASIBILITY_RESTORED_1P1DB,1.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb,POINTWISE_RESTORATION_DELTA_APPLIED
O01,S012,C,True,0.0665317100486219,True,560.0244373664972,2,True,COMPLETED,FEASIBILITY_RESTORED_1P1DB,1.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb,POINTWISE_RESTORATION_DELTA_APPLIED
O01,S013,C,True,9.298304043575541,True,347.0078498253268,2,True,COMPLETED,FEASIBILITY_RESTORED_1P1DB,1.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb,POINTWISE_RESTORATION_DELTA_APPLIED
O01,S014,C,True,2.7626087743184655,True,481.19711154928655,2,True,COMPLETED,FEASIBILITY_RESTORED_1P1DB,1.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb,POINTWISE_RESTORATION_DELTA_APPLIED
O01,S015,C,True,1.935778272530612,True,449.9499632254072,2,True,COMPLETED,FEASIBILITY_RESTORED_1P1DB,1.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb,POINTWISE_RESTORATION_DELTA_APPLIED
S001,O01,C,True,inf,False,0.0,0,True,COMPLETED,FEASIBILITY_RESTORED_1P1DB,1.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb,POINTWISE_RESTORATION_DELTA_APPLIED
S001,S002,C,True,1.322380853485683e-06,True,336.55202615867427,2,True,COMPLETED,FEASIBILITY_RESTORED_1P1DB,1.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb,POINTWISE_RESTORATION_DELTA_APPLIED
S001,S003,C,True,0.21643117326418326,True,618.5126900245111,2,True,COMPLETED,FEASIBILITY_RESTORED_1P1DB,1.1,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb,POINTWISE_RESTORATION_DELTA_APPLIED
