K,transport_sorties,relay_sorties,hard_violation_boxes,hard_violation_sorties,soft_late_boxes,soft_total_lateness_s,soft_max_lateness_s,joint_makespan_s,transport_energy_kwh,relay_energy_kwh,total_energy_kwh,transport_peak,relay_airframe_peak,relay_energy_component_peak,B_battery_peak,C_battery_peak,service_peak,communication_certificate_pass,resource_feasible,complete_feasible,runtime_s,proven_optimal,solver_status
18,18,14,24,12,40,223408.2138308825,15001.555425151782,21444.41691045228,59.654457520309826,2.1629929540796202,61.817450474389446,2,3,3,3,4,2,False,False,False,10.403394937515259,False,DETERMINISTIC_STAGE_C1
19,19,14,24,12,40,231283.21264493722,15001.555425151782,22344.449994219376,61.04704641755705,2.228311497390609,63.275357914947655,2,3,3,3,4,2,False,False,False,10.15111494064331,False,DETERMINISTIC_STAGE_C1
20,20,14,24,12,44,303718.03378250333,17072.988664644945,23515.850149945443,62.559179470531525,2.293630040701597,64.85280951123312,2,3,3,3,4,2,False,False,False,10.58594012260437,False,DETERMINISTIC_STAGE_C1
21,21,14,24,12,47,353527.3923896729,20203.119535723214,24154.905854083197,64.35575673058693,2.361535273208805,66.71729200379573,2,3,3,3,4,2,False,False,False,11.335001230239868,False,DETERMINISTIC_STAGE_C1
22,22,14,24,12,48,380785.58998758974,21634.926468305428,25586.712786665412,67.30982467361467,2.474534391779913,69.78435906539458,2,3,3,3,4,2,False,False,False,11.44088339805603,False,DETERMINISTIC_STAGE_C1
23,23,14,24,12,49,424076.7739109696,23018.30751180518,26970.093830165162,71.6143416676602,2.639640860998762,74.25398252865897,2,4,4,3,4,2,False,False,False,12.20392394065857,False,DETERMINISTIC_STAGE_C1
24,24,14,24,12,50,478962.76157787547,24450.114444387393,28401.900762747377,75.45413359236458,2.794582995293116,78.2487165876577,2,5,5,3,4,2,False,False,False,13.053150653839111,False,DETERMINISTIC_STAGE_C1
25,25,14,24,12,53,551439.4070976027,25548.63737735909,29500.423695719073,79.27936012043291,2.9530074072832058,82.23236752771612,2,5,5,3,4,2,False,False,False,13.857802152633667,False,DETERMINISTIC_STAGE_C1
26,26,14,24,12,54,604130.1890476297,25548.63737735909,31656.28004689442,84.08035449102717,3.125832120003245,87.2061866110304,2,6,6,3,4,2,False,False,False,14.965153932571411,False,DETERMINISTIC_STAGE_C1
27,27,14,24,12,56,676025.8556007594,27200.223609050874,32214.198453256104,86.8581509247399,3.2227293205138947,90.0808802452538,2,6,6,3,4,2,False,False,False,15.824234008789062,False,DETERMINISTIC_STAGE_C1
28,28,14,24,12,56,703854.5207979376,28100.25669281797,33385.598608982174,88.60776328243212,3.288047863824883,91.895811146257,2,6,6,3,4,2,False,False,False,16.012943029403687,False,DETERMINISTIC_STAGE_C1
29,29,14,24,12,56,736889.4195460612,29337.656848544037,34285.631692749266,90.51483265074404,3.3533664071358715,93.8681990578799,2,6,6,3,4,2,False,False,False,16.318158626556396,False,DETERMINISTIC_STAGE_C1
30,30,14,24,12,56,773861.8177012119,30237.68993231113,35523.03184847534,92.31799773534384,3.41868495044686,95.7366826857907,2,6,6,3,4,2,False,False,False,16.66887068748474,False,DETERMINISTIC_STAGE_C1
