box_id,service,material_type,raw_deadline_s,model_deadline_s,associated_sortie,arrival_expression,constraint_name,constraint_rhs,big_M,late_variable,constraint_active,evidence
S003-MED-01,S003,医疗物资,7200.0,7200.0,SENS19-009,s_0+1645.408955808 (delivery_s),deadline_relax_0,5554.591044192444,100000.0,tardy_box_0,False,build_model: s_i - M*tardy_k <= deadline-do; C1 heuristic has no solver constraint
S003-WAT-01,S003,饮用水,7200.0,7200.0,SENS19-009,s_1+1645.408955808 (delivery_s),deadline_relax_1,5554.591044192444,100000.0,tardy_box_1,False,build_model: s_i - M*tardy_k <= deadline-do; C1 heuristic has no solver constraint
S004-MED-01,S004,医疗物资,7200.0,7200.0,SENS19-010,s_2+1585.563988041 (delivery_s),deadline_relax_2,5614.436011959017,100000.0,tardy_box_2,False,build_model: s_i - M*tardy_k <= deadline-do; C1 heuristic has no solver constraint
S004-WAT-01,S004,饮用水,7200.0,7200.0,SENS19-010,s_3+1585.563988041 (delivery_s),deadline_relax_3,5614.436011959017,100000.0,tardy_box_3,False,build_model: s_i - M*tardy_k <= deadline-do; C1 heuristic has no solver constraint
S005-MED-01,S005,医疗物资,10800.0,10800.0,SENS19-013,s_4+1374.657959968 (delivery_s),deadline_relax_4,9425.342040031908,100000.0,tardy_box_4,False,build_model: s_i - M*tardy_k <= deadline-do; C1 heuristic has no solver constraint
S005-WAT-01,S005,饮用水,10800.0,10800.0,SENS19-013,s_5+1374.657959968 (delivery_s),deadline_relax_5,9425.342040031908,100000.0,tardy_box_5,False,build_model: s_i - M*tardy_k <= deadline-do; C1 heuristic has no solver constraint
S007-MED-01,S007,医疗物资,3600.0,3600.0,SENS19-004,s_6+1347.718319693 (delivery_s),deadline_relax_6,2252.281680306515,100000.0,tardy_box_6,False,build_model: s_i - M*tardy_k <= deadline-do; C1 heuristic has no solver constraint
S007-WAT-01,S007,饮用水,3600.0,3600.0,SENS19-004,s_7+1347.718319693 (delivery_s),deadline_relax_7,2252.281680306515,100000.0,tardy_box_7,False,build_model: s_i - M*tardy_k <= deadline-do; C1 heuristic has no solver constraint
S008-MED-01,S008,医疗物资,7200.0,7200.0,SENS19-011,s_8+1499.727378769 (delivery_s),deadline_relax_8,5700.272621231485,100000.0,tardy_box_8,False,build_model: s_i - M*tardy_k <= deadline-do; C1 heuristic has no solver constraint
S008-WAT-01,S008,饮用水,7200.0,7200.0,SENS19-011,s_9+1499.727378769 (delivery_s),deadline_relax_9,5700.272621231485,100000.0,tardy_box_9,False,build_model: s_i - M*tardy_k <= deadline-do; C1 heuristic has no solver constraint
S009-MED-01,S009,医疗物资,10800.0,10800.0,SENS19-014,s_10+1091.991380600 (delivery_s),deadline_relax_10,9708.008619399545,100000.0,tardy_box_10,False,build_model: s_i - M*tardy_k <= deadline-do; C1 heuristic has no solver constraint
S009-WAT-01,S009,饮用水,10800.0,10800.0,SENS19-014,s_11+1091.991380600 (delivery_s),deadline_relax_11,9708.008619399545,100000.0,tardy_box_11,False,build_model: s_i - M*tardy_k <= deadline-do; C1 heuristic has no solver constraint
S010-MED-01,S010,医疗物资,3600.0,3600.0,SENS19-005,s_12+1084.834821594 (delivery_s),deadline_relax_12,2515.165178406491,100000.0,tardy_box_12,False,build_model: s_i - M*tardy_k <= deadline-do; C1 heuristic has no solver constraint
S010-WAT-01,S010,饮用水,3600.0,3600.0,SENS19-005,s_13+1084.834821594 (delivery_s),deadline_relax_13,2515.165178406491,100000.0,tardy_box_13,False,build_model: s_i - M*tardy_k <= deadline-do; C1 heuristic has no solver constraint
S011-MED-01,S011,医疗物资,10800.0,10800.0,SENS19-015,s_14+907.004448313 (delivery_s),deadline_relax_14,9892.995551687187,100000.0,tardy_box_14,False,build_model: s_i - M*tardy_k <= deadline-do; C1 heuristic has no solver constraint
S011-WAT-01,S011,饮用水,10800.0,10800.0,SENS19-015,s_15+907.004448313 (delivery_s),deadline_relax_15,9892.995551687187,100000.0,tardy_box_15,False,build_model: s_i - M*tardy_k <= deadline-do; C1 heuristic has no solver constraint
S012-MED-01,S012,医疗物资,3600.0,3600.0,SENS19-006,s_16+1271.874669504 (delivery_s),deadline_relax_16,2328.1253304964584,100000.0,tardy_box_16,False,build_model: s_i - M*tardy_k <= deadline-do; C1 heuristic has no solver constraint
S012-WAT-01,S012,饮用水,3600.0,3600.0,SENS19-006,s_17+1271.874669504 (delivery_s),deadline_relax_17,2328.1253304964584,100000.0,tardy_box_17,False,build_model: s_i - M*tardy_k <= deadline-do; C1 heuristic has no solver constraint
