candidate_id,box_id,route
Q3V2-000214,S004-MED-01,O01->S004->O01
Q3V2-000214,S004-WAT-01,O01->S004->O01
Q3V2-000214,S004-WAT-02,O01->S004->O01
Q3V2-000214,S004-WAT-03,O01->S004->O01
Q3V2-000214,S004-FOD-01,O01->S004->O01
Q3V2-000214,S004-HYG-01,O01->S004->O01
Q3V2-000236,S005-MED-01,O01->S005->O01
Q3V2-000236,S005-WAT-01,O01->S005->O01
Q3V2-000236,S005-WAT-02,O01->S005->O01
Q3V2-000236,S005-WAT-03,O01->S005->O01
Q3V2-000236,S005-FOD-01,O01->S005->O01
Q3V2-000236,S005-HYG-01,O01->S005->O01
Q3V2-000258,S006-MED-01,O01->S006->O01
Q3V2-000258,S006-WAT-01,O01->S006->O01
Q3V2-000258,S006-WAT-02,O01->S006->O01
Q3V2-000258,S006-WAT-03,O01->S006->O01
Q3V2-000258,S006-FOD-01,O01->S006->O01
Q3V2-000258,S006-HYG-01,O01->S006->O01
Q3V2-006456,S008-MED-01,O01->S011->S008->O01
Q3V2-006456,S008-WAT-01,O01->S011->S008->O01
Q3V2-006456,S008-WAT-02,O01->S011->S008->O01
Q3V2-006456,S008-FOD-01,O01->S011->S008->O01
Q3V2-006456,S008-HYG-01,O01->S011->S008->O01
Q3V2-006456,S011-MED-01,O01->S011->S008->O01
Q3V2-006456,S011-WAT-01,O01->S011->S008->O01
Q3V2-006456,S011-FOD-01,O01->S011->S008->O01
Q3V2-006742,S009-MED-01,O01->S012->S009->O01
Q3V2-006742,S009-WAT-01,O01->S012->S009->O01
Q3V2-006742,S009-FOD-01,O01->S012->S009->O01
Q3V2-006742,S012-MED-01,O01->S012->S009->O01
Q3V2-006742,S012-WAT-01,O01->S012->S009->O01
Q3V2-006742,S012-FOD-01,O01->S012->S009->O01
Q3V2-007631,S007-MED-01,O01->S015->S007->O01
Q3V2-007631,S007-WAT-01,O01->S015->S007->O01
Q3V2-007631,S007-WAT-02,O01->S015->S007->O01
Q3V2-007631,S007-FOD-01,O01->S015->S007->O01
Q3V2-007631,S007-HYG-01,O01->S015->S007->O01
Q3V2-007631,S015-MED-01,O01->S015->S007->O01
Q3V2-007631,S015-WAT-01,O01->S015->S007->O01
Q3V2-007631,S015-FOD-01,O01->S015->S007->O01
Q3V2-057841,S002-MED-01,O01->S013->S012->S002->O01
Q3V2-057841,S002-FOD-01,O01->S013->S012->S002->O01
Q3V2-057844,S002-WAT-01,O01->S013->S012->S002->O01
Q3V2-057844,S002-WAT-02,O01->S013->S012->S002->O01
Q3V2-057855,S002-WAT-03,O01->S013->S012->S002->O01
Q3V2-057855,S002-WAT-04,O01->S013->S012->S002->O01
Q3V2-057864,S002-FOD-02,O01->S013->S012->S002->O01
Q3V2-057864,S002-HYG-01,O01->S013->S012->S002->O01
Q3V2-059226,S010-MED-01,O01->S014->S010->S013->O01
Q3V2-059226,S010-WAT-01,O01->S014->S010->S013->O01
Q3V2-059226,S010-FOD-01,O01->S014->S010->S013->O01
Q3V2-059226,S013-MED-01,O01->S014->S010->S013->O01
Q3V2-059226,S013-WAT-01,O01->S014->S010->S013->O01
Q3V2-059226,S013-FOD-01,O01->S014->S010->S013->O01
Q3V2-059226,S014-MED-01,O01->S014->S010->S013->O01
Q3V2-059226,S014-WAT-01,O01->S014->S010->S013->O01
Q3V2-059226,S014-FOD-01,O01->S014->S010->S013->O01
Q3V2-060770,S003-MED-01,O01->S015->S007->S003->O01
Q3V2-060770,S003-WAT-02,O01->S015->S007->S003->O01
Q3V2-060780,S003-WAT-01,O01->S015->S007->S003->O01
Q3V2-060780,S003-FOD-02,O01->S015->S007->S003->O01
Q3V2-060790,S003-WAT-03,O01->S015->S007->S003->O01
Q3V2-060790,S003-HYG-01,O01->S015->S007->S003->O01
Q3V2-060791,S003-WAT-04,O01->S015->S007->S003->O01
Q3V2-060791,S003-FOD-01,O01->S015->S007->S003->O01
Q3V2-061201,S001-FOD-01,O01->S015->S011->S001->O01
Q3V2-061223,S001-MED-01,O01->S015->S011->S001->O01
Q3V2-061223,S001-WAT-05,O01->S015->S011->S001->O01
Q3V2-061239,S001-MED-02,O01->S015->S011->S001->O01
Q3V2-061239,S001-WAT-08,O01->S015->S011->S001->O01
Q3V2-061255,S001-WAT-01,O01->S015->S011->S001->O01
Q3V2-061255,S001-HYG-01,O01->S015->S011->S001->O01
Q3V2-061257,S001-WAT-02,O01->S015->S011->S001->O01
Q3V2-061257,S001-WAT-03,O01->S015->S011->S001->O01
Q3V2-061283,S001-WAT-04,O01->S015->S011->S001->O01
Q3V2-061283,S001-FOD-02,O01->S015->S011->S001->O01
Q3V2-061299,S001-WAT-06,O01->S015->S011->S001->O01
Q3V2-061299,S001-FOD-03,O01->S015->S011->S001->O01
Q3V2-061307,S001-WAT-07,O01->S015->S011->S001->O01
Q3V2-061307,S001-HYG-02,O01->S015->S011->S001->O01
