delta_dB,positive_incoming_count_records,positive_outgoing_count_records,positive_incoming_count_unique,positive_outgoing_count_unique,best_incoming_margin_dB,best_outgoing_margin_dB,communication_ingress_egress_pairs,full_route_count
0.0,0,0,0,0,-0.0771202430435664,-0.0771202430435664,0,NOT_EVALUATED
0.01,0,0,0,0,-0.06712024304356641,-0.06712024304356641,0,NOT_EVALUATED
0.02,0,0,0,0,-0.0571202430435664,-0.0571202430435664,0,NOT_EVALUATED
0.03,0,0,0,0,-0.04712024304356641,-0.04712024304356641,0,NOT_EVALUATED
0.04,0,0,0,0,-0.037120243043566405,-0.037120243043566405,0,NOT_EVALUATED
0.05,0,0,0,0,-0.027120243043566403,-0.027120243043566403,0,NOT_EVALUATED
0.06,0,0,0,0,-0.017120243043566408,-0.017120243043566408,0,NOT_EVALUATED
0.07,0,0,0,0,-0.007120243043566399,-0.007120243043566399,0,NOT_EVALUATED
0.077121,10,10,5,5,7.569564335896395e-07,7.569564335896395e-07,20,NOT_EVALUATED
0.077122,10,10,5,5,1.7569564335906396e-06,1.7569564335906396e-06,20,NOT_EVALUATED
0.08,10,10,5,5,0.002879756956433596,0.002879756956433596,20,NOT_EVALUATED
0.09,10,10,5,5,0.012879756956433591,0.012879756956433591,20,NOT_EVALUATED
0.1,10,10,5,5,0.0228797569564336,0.0228797569564336,20,NOT_EVALUATED
0.11,10,10,5,5,0.032879756956433595,0.032879756956433595,20,NOT_EVALUATED
0.12,10,10,5,5,0.04287975695643359,0.04287975695643359,20,NOT_EVALUATED
0.13,10,10,5,5,0.0528797569564336,0.0528797569564336,20,NOT_EVALUATED
0.14,10,10,5,5,0.06287975695643361,0.06287975695643361,20,NOT_EVALUATED
0.15,10,10,5,5,0.07287975695643359,0.07287975695643359,20,NOT_EVALUATED
0.16,10,10,5,5,0.0828797569564336,0.0828797569564336,20,NOT_EVALUATED
0.17,10,10,5,5,0.0928797569564336,0.0928797569564336,20,NOT_EVALUATED
0.18,10,10,5,5,0.10287975695643359,0.10287975695643359,20,NOT_EVALUATED
0.19,10,10,5,5,0.1128797569564336,0.1128797569564336,20,NOT_EVALUATED
0.2,10,10,5,5,0.1228797569564336,0.1228797569564336,20,NOT_EVALUATED
0.21,10,10,5,5,0.1328797569564336,0.1328797569564336,20,NOT_EVALUATED
0.22,10,10,5,5,0.1428797569564336,0.1428797569564336,20,NOT_EVALUATED
0.23,10,10,5,5,0.1528797569564336,0.1528797569564336,20,NOT_EVALUATED
0.24,10,10,5,5,0.16287975695643359,0.16287975695643359,20,NOT_EVALUATED
0.25,10,10,5,5,0.1728797569564336,0.1728797569564336,20,NOT_EVALUATED
0.26,10,10,5,5,0.1828797569564336,0.1828797569564336,20,NOT_EVALUATED
0.27,10,10,5,5,0.1928797569564336,0.1928797569564336,20,NOT_EVALUATED
0.28,10,10,5,5,0.20287975695643362,0.20287975695643362,20,NOT_EVALUATED
0.29,10,10,5,5,0.21287975695643357,0.21287975695643357,20,NOT_EVALUATED
0.3,10,10,5,5,0.22287975695643358,0.22287975695643358,20,NOT_EVALUATED
0.31,10,10,5,5,0.2328797569564336,0.2328797569564336,20,NOT_EVALUATED
0.32,10,10,5,5,0.2428797569564336,0.2428797569564336,20,NOT_EVALUATED
0.33,10,10,5,5,0.2528797569564336,0.2528797569564336,20,NOT_EVALUATED
0.34,10,10,5,5,0.2628797569564336,0.2628797569564336,20,NOT_EVALUATED
0.35,10,10,5,5,0.2728797569564336,0.2728797569564336,20,NOT_EVALUATED
0.36,10,10,5,5,0.2828797569564336,0.2828797569564336,20,NOT_EVALUATED
0.37,10,10,5,5,0.2928797569564336,0.2928797569564336,20,NOT_EVALUATED
0.38,10,10,5,5,0.3028797569564336,0.3028797569564336,20,NOT_EVALUATED
0.39,10,10,5,5,0.3128797569564336,0.3128797569564336,20,NOT_EVALUATED
0.4,26,26,13,13,0.3228797569564336,0.3228797569564336,156,NOT_EVALUATED
0.41,28,28,14,14,0.33287975695643357,0.33287975695643357,182,NOT_EVALUATED
0.42,28,28,14,14,0.3428797569564336,0.3428797569564336,182,NOT_EVALUATED
0.43,28,28,14,14,0.3528797569564336,0.3528797569564336,182,NOT_EVALUATED
0.44,30,30,15,15,0.3628797569564336,0.3628797569564336,210,NOT_EVALUATED
0.45,30,30,15,15,0.3728797569564336,0.3728797569564336,210,NOT_EVALUATED
0.46,30,30,15,15,0.3828797569564336,0.3828797569564336,210,NOT_EVALUATED
0.47,30,30,15,15,0.39287975695643357,0.39287975695643357,210,NOT_EVALUATED
0.48,30,30,15,15,0.4028797569564336,0.4028797569564336,210,NOT_EVALUATED
0.49,30,30,15,15,0.4128797569564336,0.4128797569564336,210,NOT_EVALUATED
0.5,30,30,15,15,0.4228797569564336,0.4228797569564336,210,NOT_EVALUATED
0.51,30,30,15,15,0.4328797569564336,0.4328797569564336,210,NOT_EVALUATED
0.52,30,30,15,15,0.4428797569564336,0.4428797569564336,210,NOT_EVALUATED
0.53,30,30,15,15,0.4528797569564336,0.4528797569564336,210,NOT_EVALUATED
0.54,30,30,15,15,0.46287975695643363,0.46287975695643363,210,NOT_EVALUATED
0.55,30,30,15,15,0.47287975695643364,0.47287975695643364,210,NOT_EVALUATED
0.56,30,30,15,15,0.48287975695643365,0.48287975695643365,210,NOT_EVALUATED
0.57,30,30,15,15,0.49287975695643355,0.49287975695643355,210,NOT_EVALUATED
0.58,30,30,15,15,0.5028797569564336,0.5028797569564336,210,NOT_EVALUATED
0.59,30,30,15,15,0.5128797569564336,0.5128797569564336,210,NOT_EVALUATED
0.6,30,30,15,15,0.5228797569564336,0.5228797569564336,210,NOT_EVALUATED
0.61,30,30,15,15,0.5328797569564336,0.5328797569564336,210,NOT_EVALUATED
0.62,30,30,15,15,0.5428797569564336,0.5428797569564336,210,NOT_EVALUATED
0.63,30,30,15,15,0.5528797569564337,0.5528797569564337,210,NOT_EVALUATED
0.64,30,30,15,15,0.5628797569564337,0.5628797569564337,210,NOT_EVALUATED
0.65,30,30,15,15,0.5728797569564337,0.5728797569564337,210,NOT_EVALUATED
0.66,30,30,15,15,0.5828797569564337,0.5828797569564337,210,NOT_EVALUATED
0.67,30,30,15,15,0.5928797569564337,0.5928797569564337,210,NOT_EVALUATED
0.68,30,30,15,15,0.6028797569564337,0.6028797569564337,210,NOT_EVALUATED
0.69,30,30,15,15,0.6128797569564335,0.6128797569564335,210,NOT_EVALUATED
0.7,30,30,15,15,0.6228797569564335,0.6228797569564335,210,NOT_EVALUATED
0.71,30,30,15,15,0.6328797569564335,0.6328797569564335,210,NOT_EVALUATED
0.72,30,30,15,15,0.6428797569564335,0.6428797569564335,210,NOT_EVALUATED
0.73,30,30,15,15,0.6528797569564335,0.6528797569564335,210,NOT_EVALUATED
0.74,30,30,15,15,0.6628797569564335,0.6628797569564335,210,NOT_EVALUATED
0.75,30,30,15,15,0.6728797569564335,0.6728797569564335,210,NOT_EVALUATED
0.76,30,30,15,15,0.6828797569564335,0.6828797569564335,210,NOT_EVALUATED
0.77,30,30,15,15,0.6928797569564336,0.6928797569564336,210,NOT_EVALUATED
0.78,30,30,15,15,0.7028797569564336,0.7028797569564336,210,NOT_EVALUATED
0.79,30,30,15,15,0.7128797569564336,0.7128797569564336,210,NOT_EVALUATED
0.8,30,30,15,15,0.7228797569564336,0.7228797569564336,210,NOT_EVALUATED
0.81,30,30,15,15,0.7328797569564336,0.7328797569564336,210,NOT_EVALUATED
0.82,30,30,15,15,0.7428797569564336,0.7428797569564336,210,NOT_EVALUATED
0.83,30,30,15,15,0.7528797569564336,0.7528797569564336,210,NOT_EVALUATED
0.84,30,30,15,15,0.7628797569564336,0.7628797569564336,210,NOT_EVALUATED
0.85,30,30,15,15,0.7728797569564336,0.7728797569564336,210,NOT_EVALUATED
0.86,30,30,15,15,0.7828797569564336,0.7828797569564336,210,NOT_EVALUATED
0.87,30,30,15,15,0.7928797569564336,0.7928797569564336,210,NOT_EVALUATED
0.88,30,30,15,15,0.8028797569564337,0.8028797569564337,210,NOT_EVALUATED
0.89,30,30,15,15,0.8128797569564337,0.8128797569564337,210,NOT_EVALUATED
0.9,30,30,15,15,0.8228797569564337,0.8228797569564337,210,NOT_EVALUATED
0.91,30,30,15,15,0.8328797569564337,0.8328797569564337,210,NOT_EVALUATED
0.92,30,30,15,15,0.8428797569564337,0.8428797569564337,210,NOT_EVALUATED
0.93,30,30,15,15,0.8528797569564337,0.8528797569564337,210,NOT_EVALUATED
0.94,30,30,15,15,0.8628797569564335,0.8628797569564335,210,NOT_EVALUATED
0.95,30,30,15,15,0.8728797569564335,0.8728797569564335,210,NOT_EVALUATED
0.96,30,30,15,15,0.8828797569564335,0.8828797569564335,210,NOT_EVALUATED
0.97,30,30,15,15,0.8928797569564335,0.8928797569564335,210,NOT_EVALUATED
0.98,30,30,15,15,0.9028797569564335,0.9028797569564335,210,NOT_EVALUATED
0.99,30,30,15,15,0.9128797569564335,0.9128797569564335,210,NOT_EVALUATED
1.0,30,30,15,15,0.9228797569564335,0.9228797569564335,210,NOT_EVALUATED
