skeleton_id,service_sequence,edge_count,communication_margin,drone_type
SK-00001,S001,2,inf,C
SK-00002,S004,2,4.185182638468788,C
SK-00003,S005,2,7.477418817803681,C
SK-00004,S006,2,inf,C
SK-00005,S007,2,8.836081683362565,C
SK-00006,S008,2,3.7863702057398423,C
SK-00007,S009,2,1.33855101331298,C
SK-00008,S010,2,2.918482904678413,C
SK-00009,S011,2,inf,C
SK-00010,S013,2,8.253309043575541,C
SK-00011,S014,2,1.7176137743184654,C
SK-00012,S015,2,0.8907832725306122,C
SK-00013,S001>S004,3,4.185182638468788,C
SK-00014,S001>S005,3,7.477418817803681,C
SK-00015,S001>S006,3,inf,C
SK-00016,S001>S007,3,7.678828284435028,C
SK-00017,S001>S008,3,3.7863702057398423,C
SK-00018,S001>S009,3,1.33855101331298,C
SK-00019,S001>S010,3,2.918482904678413,C
SK-00020,S001>S011,3,inf,C
SK-00021,S001>S013,3,8.253309043575541,C
SK-00022,S001>S014,3,1.7176137743184654,C
SK-00023,S001>S015,3,0.8907832725306122,C
SK-00024,S004>S001,3,4.185182638468788,C
SK-00025,S004>S005,3,4.185182638468788,C
SK-00026,S004>S006,3,3.144375740555972,C
SK-00027,S004>S007,3,4.185182638468788,C
SK-00028,S004>S008,3,3.7863702057398423,C
SK-00029,S004>S009,3,1.33855101331298,C
SK-00030,S004>S010,3,2.918482904678413,C
SK-00031,S004>S011,3,4.185182638468788,C
SK-00032,S004>S013,3,4.185182638468788,C
SK-00033,S004>S014,3,1.7176137743184654,C
SK-00034,S005>S001,3,7.477418817803681,C
SK-00035,S005>S004,3,4.185182638468788,C
SK-00036,S005>S006,3,6.222112461609839,C
SK-00037,S005>S007,3,7.477418817803681,C
SK-00038,S005>S008,3,3.7863702057398423,C
SK-00039,S005>S009,3,1.33855101331298,C
SK-00040,S005>S010,3,2.918482904678413,C
SK-00041,S005>S011,3,7.477418817803681,C
SK-00042,S005>S013,3,7.477418817803681,C
SK-00043,S005>S014,3,1.7176137743184654,C
SK-00044,S005>S015,3,0.8907832725306122,C
SK-00045,S006>S001,3,inf,C
SK-00046,S006>S004,3,3.144375740555972,C
SK-00047,S006>S005,3,6.222112461609839,C
SK-00048,S006>S007,3,8.836081683362565,C
SK-00049,S006>S008,3,3.7863702057398423,C
SK-00050,S006>S009,3,1.33855101331298,C
SK-00051,S006>S010,3,2.918482904678413,C
SK-00052,S006>S011,3,inf,C
SK-00053,S006>S013,3,4.151652073208851,C
SK-00054,S006>S014,3,1.7176137743184654,C
SK-00055,S006>S015,3,0.8907832725306122,C
SK-00056,S007>S001,3,7.678828284435028,C
SK-00057,S007>S004,3,4.185182638468788,C
SK-00058,S007>S005,3,7.477418817803681,C
SK-00059,S007>S006,3,8.836081683362565,C
SK-00060,S007>S008,3,3.7863702057398423,C
SK-00061,S007>S009,3,1.33855101331298,C
SK-00062,S007>S010,3,2.918482904678413,C
SK-00063,S007>S011,3,8.836081683362565,C
SK-00064,S007>S013,3,3.857793506246296,C
SK-00065,S007>S014,3,1.7176137743184654,C
SK-00066,S007>S015,3,0.8907832725306122,C
SK-00067,S008>S001,3,3.7863702057398423,C
SK-00068,S008>S004,3,3.7863702057398423,C
SK-00069,S008>S005,3,3.7863702057398423,C
SK-00070,S008>S006,3,3.7863702057398423,C
SK-00071,S008>S007,3,3.7863702057398423,C
SK-00072,S008>S009,3,1.33855101331298,C
SK-00073,S008>S010,3,2.5907479698198443,C
SK-00074,S008>S011,3,3.7863702057398423,C
SK-00075,S008>S013,3,3.7863702057398423,C
SK-00076,S008>S014,3,1.1428479220222698,C
SK-00077,S008>S015,3,0.8907832725306122,C
SK-00078,S009>S001,3,1.33855101331298,C
SK-00079,S009>S004,3,1.33855101331298,C
SK-00080,S009>S005,3,1.33855101331298,C
SK-00081,S009>S006,3,1.33855101331298,C
SK-00082,S009>S007,3,1.33855101331298,C
SK-00083,S009>S008,3,1.33855101331298,C
SK-00084,S009>S010,3,1.33855101331298,C
SK-00085,S009>S011,3,1.33855101331298,C
SK-00086,S009>S013,3,1.33855101331298,C
SK-00087,S009>S014,3,1.33855101331298,C
SK-00088,S009>S015,3,0.8907832725306122,C
SK-00089,S010>S001,3,2.918482904678413,C
SK-00090,S010>S004,3,2.918482904678413,C
SK-00091,S010>S005,3,2.918482904678413,C
SK-00092,S010>S006,3,2.918482904678413,C
SK-00093,S010>S007,3,2.918482904678413,C
SK-00094,S010>S008,3,2.5907479698198443,C
SK-00095,S010>S009,3,1.33855101331298,C
SK-00096,S010>S011,3,2.918482904678413,C
SK-00097,S010>S013,3,2.918482904678413,C
SK-00098,S010>S014,3,1.7176137743184654,C
SK-00099,S010>S015,3,0.8907832725306122,C
SK-00100,S011>S001,3,inf,C
SK-00101,S011>S004,3,4.185182638468788,C
SK-00102,S011>S005,3,7.477418817803681,C
SK-00103,S011>S006,3,inf,C
SK-00104,S011>S007,3,8.836081683362565,C
SK-00105,S011>S008,3,3.7863702057398423,C
SK-00106,S011>S009,3,1.33855101331298,C
SK-00107,S011>S010,3,2.918482904678413,C
SK-00108,S011>S013,3,7.603612052352474,C
SK-00109,S011>S014,3,1.7176137743184654,C
SK-00110,S011>S015,3,0.8907832725306122,C
SK-00111,S013>S001,3,8.253309043575541,C
SK-00112,S013>S004,3,4.185182638468788,C
SK-00113,S013>S005,3,7.477418817803681,C
SK-00114,S013>S006,3,4.151652073208851,C
SK-00115,S013>S007,3,3.857793506246296,C
SK-00116,S013>S008,3,3.7863702057398423,C
SK-00117,S013>S009,3,1.33855101331298,C
SK-00118,S013>S010,3,2.918482904678413,C
SK-00119,S013>S011,3,7.603612052352474,C
SK-00120,S013>S014,3,1.7176137743184654,C
SK-00121,S013>S015,3,0.8907832725306122,C
SK-00122,S014>S001,3,1.7176137743184654,C
SK-00123,S014>S004,3,1.7176137743184654,C
SK-00124,S014>S005,3,1.7176137743184654,C
SK-00125,S014>S006,3,1.7176137743184654,C
SK-00126,S014>S007,3,1.7176137743184654,C
SK-00127,S014>S008,3,1.1428479220222698,C
SK-00128,S014>S009,3,1.33855101331298,C
SK-00129,S014>S010,3,1.7176137743184654,C
SK-00130,S014>S011,3,1.7176137743184654,C
SK-00131,S014>S013,3,1.7176137743184654,C
SK-00132,S014>S015,3,0.8907832725306122,C
SK-00133,S015>S001,3,0.8907832725306122,C
SK-00134,S015>S005,3,0.8907832725306122,C
SK-00135,S015>S006,3,0.8907832725306122,C
SK-00136,S015>S007,3,0.8907832725306122,C
SK-00137,S015>S008,3,0.8907832725306122,C
SK-00138,S015>S009,3,0.8907832725306122,C
SK-00139,S015>S010,3,0.8907832725306122,C
SK-00140,S015>S011,3,0.8907832725306122,C
SK-00141,S015>S013,3,0.8907832725306122,C
SK-00142,S015>S014,3,0.8907832725306122,C
SK-00143,S001>S004>S005,4,7.477418817803681,C
SK-00144,S001>S004>S006,4,3.144375740555972,C
SK-00145,S001>S004>S007,4,8.077872768647865,C
SK-00146,S001>S004>S008,4,3.7863702057398423,C
SK-00147,S001>S004>S009,4,1.33855101331298,C
SK-00148,S001>S004>S010,4,2.918482904678413,C
SK-00149,S001>S004>S011,4,7.280977071864612,C
SK-00150,S001>S004>S013,4,5.297945737201175,C
SK-00151,S001>S004>S014,4,1.7176137743184654,C
SK-00152,S001>S005>S004,4,4.185182638468788,C
SK-00153,S001>S005>S006,4,6.222112461609839,C
SK-00154,S001>S005>S007,4,8.53891922285095,C
SK-00155,S001>S005>S008,4,3.7863702057398423,C
SK-00156,S001>S005>S009,4,1.33855101331298,C
SK-00157,S001>S005>S010,4,2.918482904678413,C
SK-00158,S001>S005>S011,4,11.920214911402752,C
SK-00159,S001>S005>S013,4,7.611303124262775,C
