K,transport_sorties,relay_sorties,hard_violation_boxes,hard_violation_sorties,soft_late_boxes,soft_total_lateness_s,soft_max_lateness_s,joint_makespan_s,transport_energy_kwh,relay_energy_kwh,relay_airframe_peak,relay_energy_component_peak,transport_peak,B_battery_peak,C_battery_peak,service_peak,communication_feasible,communication_status,resource_feasible,resource_status,complete_feasible,energy_component_charge_defined,relay_energy_component_inventory_known,solver_status,proven_optimal
18,18,18,24,12,40,223408.2138308825,15001.555425151782,21444.41691045228,59.654457520309826,2.1650692729140677,2,2,2,3,4,2,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,False,PARTIAL_ONLY_CHARGE_AND_COMPONENT_INVENTORY_UNVERIFIED,False,False,False,DETERMINISTIC_C1_AFTER_RESOURCE_SEMANTICS_FIX,False
19,19,19,24,12,40,231283.21264493722,15001.555425151782,22344.449994219376,61.04704641755705,2.230641583058161,2,2,2,3,4,2,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,False,PARTIAL_ONLY_CHARGE_AND_COMPONENT_INVENTORY_UNVERIFIED,False,False,False,DETERMINISTIC_C1_AFTER_RESOURCE_SEMANTICS_FIX,False
20,20,20,24,12,44,303718.03378250333,17072.988664644945,23515.850149945443,62.559179470531525,2.2962138932022547,2,2,2,3,4,2,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,False,PARTIAL_ONLY_CHARGE_AND_COMPONENT_INVENTORY_UNVERIFIED,False,False,False,DETERMINISTIC_C1_AFTER_RESOURCE_SEMANTICS_FIX,False
21,21,21,24,12,47,353527.3923896729,20203.119535723214,24154.905854083197,64.35575673058693,2.3643403076385434,2,2,2,3,4,2,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,False,PARTIAL_ONLY_CHARGE_AND_COMPONENT_INVENTORY_UNVERIFIED,False,False,False,DETERMINISTIC_C1_AFTER_RESOURCE_SEMANTICS_FIX,False
22,22,22,24,12,48,380785.58998758974,21634.926468305428,25586.712786665412,67.30982467361467,2.477339426209652,2,2,2,3,4,2,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,False,PARTIAL_ONLY_CHARGE_AND_COMPONENT_INVENTORY_UNVERIFIED,False,False,False,DETERMINISTIC_C1_AFTER_RESOURCE_SEMANTICS_FIX,False
23,23,23,24,12,49,424076.7739109696,23018.30751180518,26970.093830165162,71.6143416676602,2.642467142276499,2,2,2,3,4,2,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,False,PARTIAL_ONLY_CHARGE_AND_COMPONENT_INVENTORY_UNVERIFIED,False,False,False,DETERMINISTIC_C1_AFTER_RESOURCE_SEMANTICS_FIX,False
24,24,24,24,12,50,478962.76157787547,24450.114444387393,28401.900762747377,75.45413359236458,2.797576221592808,2,2,2,3,4,2,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,False,PARTIAL_ONLY_CHARGE_AND_COMPONENT_INVENTORY_UNVERIFIED,False,False,False,DETERMINISTIC_C1_AFTER_RESOURCE_SEMANTICS_FIX,False
25,25,25,24,12,53,551439.4070976027,25548.63737735909,29500.423695719073,79.27936012043291,2.9561868434630028,2,2,2,3,4,2,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,False,PARTIAL_ONLY_CHARGE_AND_COMPONENT_INVENTORY_UNVERIFIED,False,False,False,DETERMINISTIC_C1_AFTER_RESOURCE_SEMANTICS_FIX,False
26,26,26,24,12,54,604130.1890476297,25548.63737735909,31656.28004689442,84.08035449102717,3.129011556183042,2,2,2,3,4,2,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,False,PARTIAL_ONLY_CHARGE_AND_COMPONENT_INVENTORY_UNVERIFIED,False,False,False,DETERMINISTIC_C1_AFTER_RESOURCE_SEMANTICS_FIX,False
27,27,27,24,12,56,676025.8556007594,27200.223609050874,32214.198453256104,86.8581509247399,3.2260932795002075,2,2,2,3,4,2,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,False,PARTIAL_ONLY_CHARGE_AND_COMPONENT_INVENTORY_UNVERIFIED,False,False,False,DETERMINISTIC_C1_AFTER_RESOURCE_SEMANTICS_FIX,False
28,28,28,24,12,56,703854.5207979376,28100.25669281797,33385.598608982174,88.60776328243212,3.2916655896443006,2,2,2,3,4,2,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,False,PARTIAL_ONLY_CHARGE_AND_COMPONENT_INVENTORY_UNVERIFIED,False,False,False,DETERMINISTIC_C1_AFTER_RESOURCE_SEMANTICS_FIX,False
29,29,29,24,12,56,736889.4195460612,29337.656848544037,34285.631692749266,90.51483265074404,3.357237899788394,2,2,2,3,4,2,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,False,PARTIAL_ONLY_CHARGE_AND_COMPONENT_INVENTORY_UNVERIFIED,False,False,False,DETERMINISTIC_C1_AFTER_RESOURCE_SEMANTICS_FIX,False
30,30,30,24,12,56,773861.8177012119,30237.68993231113,35523.03184847534,92.31799773534384,3.422810209932487,2,2,2,3,4,2,False,STATIC_CERT_ONLY_DYNAMIC_UNVERIFIED,False,PARTIAL_ONLY_CHARGE_AND_COMPONENT_INVENTORY_UNVERIFIED,False,False,False,DETERMINISTIC_C1_AFTER_RESOURCE_SEMANTICS_FIX,False
