K,transport_sorties,relay_sorties,hard_violation_boxes,hard_violation_sorties,soft_late_boxes,soft_total_lateness_s,soft_max_lateness_s,joint_makespan_s,transport_energy_kwh,relay_energy_kwh,relay_peak,B_battery_peak,C_battery_peak,transport_peak,service_peak,communication_feasible,resource_feasible,hard_feasible,complete_feasible,solver_status,proven_optimal,runtime_s
18,18,18,24,12,40,215968.2138308825,14761.555425151782,21174.41691045228,59.654457520309826,2.1650692729140677,2,3,4,2,2,True,True,False,False,DETERMINISTIC_BOUNDED_SEARCH,False,6.968761444091797
19,19,19,24,12,40,223663.21264493716,14761.555425151782,22044.449994219376,61.04704641755705,2.230641583058161,2,3,4,2,2,True,True,False,False,DETERMINISTIC_BOUNDED_SEARCH,False,7.55925989151001
20,20,20,24,12,44,294958.03378250333,16802.988664644945,23215.850149945443,62.559179470531525,2.2962138932022547,2,3,4,2,2,True,True,False,False,DETERMINISTIC_BOUNDED_SEARCH,False,7.969308137893677
21,21,21,24,12,47,343777.3923896729,19873.119535723214,23824.905854083197,64.35575673058693,2.3643403076385434,2,3,4,2,2,True,True,False,False,DETERMINISTIC_BOUNDED_SEARCH,False,8.27025556564331
22,22,22,24,12,48,370465.58998758974,21304.926468305428,25256.712786665412,67.30982467361467,2.477339426209652,2,3,4,2,2,True,True,False,False,DETERMINISTIC_BOUNDED_SEARCH,False,8.89600133895874
23,23,23,24,12,49,412976.7739109696,22658.30751180518,26610.093830165162,71.6143416676602,2.642467142276499,2,3,4,2,2,True,True,False,False,DETERMINISTIC_BOUNDED_SEARCH,False,9.103395938873291
24,24,24,24,12,50,467082.76157787547,24090.114444387393,28041.900762747377,75.45413359236458,2.797576221592808,2,3,4,2,2,True,True,False,False,DETERMINISTIC_BOUNDED_SEARCH,False,9.717283487319946
25,25,25,24,12,53,538419.4070976027,25158.63737735909,29110.423695719073,79.27936012043291,2.9561868434630028,2,3,4,2,2,True,True,False,False,DETERMINISTIC_BOUNDED_SEARCH,False,10.196044683456421
26,26,26,24,12,54,590300.1890476297,25158.63737735909,31266.28004689442,84.08035449102717,3.129011556183042,2,3,4,2,2,True,True,False,False,DETERMINISTIC_BOUNDED_SEARCH,False,10.638371467590332
27,27,27,24,12,56,660995.8556007594,26810.223609050874,31794.198453256104,86.8581509247399,3.2260932795002075,2,3,4,2,2,True,True,False,False,DETERMINISTIC_BOUNDED_SEARCH,False,11.273813247680664
28,28,28,24,12,56,688404.5207979376,27680.25669281797,32965.598608982174,88.60776328243212,3.2916655896443006,2,3,4,2,2,True,True,False,False,DETERMINISTIC_BOUNDED_SEARCH,False,11.392171621322632
29,29,29,24,12,56,720989.4195460612,28917.656848544037,33835.631692749266,90.51483265074404,3.357237899788394,2,3,4,2,2,True,True,False,False,DETERMINISTIC_BOUNDED_SEARCH,False,11.392310380935669
30,30,30,24,12,56,757421.8177012119,29787.68993231113,35073.03184847534,92.31799773534384,3.422810209932487,2,3,4,2,2,True,True,False,False,DETERMINISTIC_BOUNDED_SEARCH,False,11.554330587387085
