from_node,to_node,drone_type,strict_worst_joint_margin_db,corrected_access_margin,corrected_backhaul_margin,best_access_margin,best_backhaul_margin,failure_reason,pipeline_sha256
O01,S008,B,-0.0771202430435664,9.929968922288651,-0.3939969527329765,-0.0700310777113486,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S001,S008,B,-0.0771202430435664,9.757359562941147,-0.3939969527329765,-0.2426404370588528,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S002,S008,B,-0.4303651068388774,9.607002847315016,-0.4303651068388774,-0.392997152684984,-0.4303651068388774,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S003,S008,B,-0.4017885448383822,9.513603254976289,-0.4017885448383822,-0.4863967450237112,-0.4017885448383822,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S004,S008,B,-0.0771202430435664,9.929968922288651,-0.3939969527329765,-0.0700310777113486,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S005,S008,B,-0.0771202430435664,9.929968922288651,-0.3939969527329765,-0.0700310777113486,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S006,S008,B,-0.3939969527329765,9.929968922288651,-0.3939969527329765,-0.0700310777113486,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S007,S008,B,-0.0771202430435664,9.626326339319816,-0.3939969527329765,-0.3736736606801827,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S009,S008,B,-0.3939969527329765,9.763930515363867,-0.3939969527329765,-0.2360694846361326,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S010,S008,B,-0.3939969527329765,9.82144716577504,-0.3939969527329765,-0.1785528342249591,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S011,S008,B,-0.3939969527329765,9.800914928578266,-0.3939969527329765,-0.1990850714217344,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S012,S008,B,-0.3939969527329765,9.634825137569363,-0.3939969527329765,-0.365174862430635,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
