from_node,to_node,drone_type,status,worst_joint_margin,communication_possible,runtime_seconds,pipeline_sha256
O01,S011,C,COMPLETED,inf,True,3.4118123054504395,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S006,C,COMPLETED,inf,True,3.9262001514434814,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S014,C,COMPLETED,2.7176137743184654,True,15.556002378463743,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S005,C,COMPLETED,7.477418817803681,True,20.39361810684204,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S013,C,COMPLETED,8.253309043575541,True,21.17303037643433,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S001,O01,C,COMPLETED,inf,True,3.198660135269165,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S004,C,COMPLETED,4.185182638468788,True,27.139883518218998,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S015,C,COMPLETED,1.890783272530612,True,25.163721799850464,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S012,C,COMPLETED,0.0215367100486219,True,30.830268621444706,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S006,O01,C,COMPLETED,inf,True,2.9190077781677246,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S005,O01,C,COMPLETED,7.477418817803681,True,20.93212652206421,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S004,O01,C,COMPLETED,4.185182638468788,True,27.69029784202576,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S007,O01,C,COMPLETED,8.836081683362565,True,19.87072205543518,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S003,O01,C,COMPLETED,0.1714361732641833,True,30.620442628860477,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S002,S011,C,COMPLETED,-0.0449936776191464,False,33.238388776779175,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S011,O01,C,COMPLETED,inf,True,2.321486473083496,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S011,S001,C,COMPLETED,inf,True,4.2880823612213135,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S007,S003,C,COMPLETED,0.1714361732641833,True,32.83243417739868,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S009,O01,C,COMPLETED,2.33855101331298,True,23.988933324813843,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,O01,C,COMPLETED,3.7863702057398423,True,28.650951623916622,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S010,S013,C,COMPLETED,3.918482904678413,True,28.330296516418457,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
