box_id,service_id,mass,volume,category,hard_deadline_type,deadline,communication_feasible_in_count,communication_feasible_out_count,communication_cycle,singleton_candidate_count,singleton_present_in_pool,candidate_count,failure_reason
S001-FOD-01,S001,8,0.028,应急食品,ORDINARY_SOFT,7200,12,12,True,235,True,3283,COVERED
S001-FOD-02,S001,8,0.028,应急食品,ORDINARY_SOFT,7200,12,12,True,235,True,3283,COVERED
S001-FOD-03,S001,8,0.028,应急食品,ORDINARY_SOFT,7200,12,12,True,235,True,3283,COVERED
S001-HYG-01,S001,6,0.035,生活卫生用品,ORDINARY_SOFT,10800,12,12,True,235,True,3310,COVERED
S001-HYG-02,S001,6,0.035,生活卫生用品,ORDINARY_SOFT,10800,12,12,True,235,True,3310,COVERED
S001-MED-01,S001,3,0.012,医疗物资,MEDICAL_HARD,3600,12,12,True,238,True,3392,COVERED
S001-MED-02,S001,3,0.012,医疗物资,MEDICAL_HARD,3600,12,12,True,238,True,3392,COVERED
S001-WAT-01,S001,14,0.027,饮用水,FIRST_BATCH_HARD,3600,12,12,True,223,True,3101,COVERED
S001-WAT-02,S001,14,0.027,饮用水,ORDINARY_SOFT,3600,12,12,True,223,True,3101,COVERED
S001-WAT-03,S001,14,0.027,饮用水,ORDINARY_SOFT,3600,12,12,True,223,True,3101,COVERED
S001-WAT-04,S001,14,0.027,饮用水,ORDINARY_SOFT,3600,12,12,True,223,True,3101,COVERED
S001-WAT-05,S001,14,0.027,饮用水,ORDINARY_SOFT,3600,12,12,True,223,True,3101,COVERED
S001-WAT-06,S001,14,0.027,饮用水,ORDINARY_SOFT,3600,12,12,True,223,True,3101,COVERED
S001-WAT-07,S001,14,0.027,饮用水,ORDINARY_SOFT,3600,12,12,True,223,True,3101,COVERED
S001-WAT-08,S001,14,0.027,饮用水,ORDINARY_SOFT,3600,12,12,True,223,True,3101,COVERED
S002-FOD-01,S002,8,0.028,应急食品,ORDINARY_SOFT,7200,0,0,False,0,False,0,NO_COMM_IN_EDGE
S002-FOD-02,S002,8,0.028,应急食品,ORDINARY_SOFT,7200,0,0,False,0,False,0,NO_COMM_IN_EDGE
S002-HYG-01,S002,6,0.035,生活卫生用品,ORDINARY_SOFT,10800,0,0,False,0,False,0,NO_COMM_IN_EDGE
S002-MED-01,S002,3,0.012,医疗物资,MEDICAL_HARD,3600,0,0,False,0,False,0,NO_COMM_IN_EDGE
S002-WAT-01,S002,14,0.027,饮用水,FIRST_BATCH_HARD,3600,0,0,False,0,False,0,NO_COMM_IN_EDGE
S002-WAT-02,S002,14,0.027,饮用水,ORDINARY_SOFT,3600,0,0,False,0,False,0,NO_COMM_IN_EDGE
S002-WAT-03,S002,14,0.027,饮用水,ORDINARY_SOFT,3600,0,0,False,0,False,0,NO_COMM_IN_EDGE
S002-WAT-04,S002,14,0.027,饮用水,ORDINARY_SOFT,3600,0,0,False,0,False,0,NO_COMM_IN_EDGE
S003-FOD-01,S003,8,0.028,应急食品,ORDINARY_SOFT,10800,0,0,False,0,False,0,NO_COMM_IN_EDGE
S003-FOD-02,S003,8,0.028,应急食品,ORDINARY_SOFT,10800,0,0,False,0,False,0,NO_COMM_IN_EDGE
S003-HYG-01,S003,6,0.035,生活卫生用品,ORDINARY_SOFT,14400,0,0,False,0,False,0,NO_COMM_IN_EDGE
S003-MED-01,S003,3,0.012,医疗物资,MEDICAL_HARD,7200,0,0,False,0,False,0,NO_COMM_IN_EDGE
S003-WAT-01,S003,14,0.027,饮用水,FIRST_BATCH_HARD,7200,0,0,False,0,False,0,NO_COMM_IN_EDGE
S003-WAT-02,S003,14,0.027,饮用水,ORDINARY_SOFT,7200,0,0,False,0,False,0,NO_COMM_IN_EDGE
S003-WAT-03,S003,14,0.027,饮用水,ORDINARY_SOFT,7200,0,0,False,0,False,0,NO_COMM_IN_EDGE
S003-WAT-04,S003,14,0.027,饮用水,ORDINARY_SOFT,7200,0,0,False,0,False,0,NO_COMM_IN_EDGE
S004-FOD-01,S004,8,0.028,应急食品,ORDINARY_SOFT,10800,11,11,True,87,True,432,COVERED
S004-HYG-01,S004,6,0.035,生活卫生用品,ORDINARY_SOFT,14400,11,11,True,92,True,445,COVERED
S004-MED-01,S004,3,0.012,医疗物资,MEDICAL_HARD,7200,11,11,True,95,True,465,COVERED
S004-WAT-01,S004,14,0.027,饮用水,FIRST_BATCH_HARD,7200,11,11,True,75,True,371,COVERED
S004-WAT-02,S004,14,0.027,饮用水,ORDINARY_SOFT,7200,11,11,True,75,True,371,COVERED
S004-WAT-03,S004,14,0.027,饮用水,ORDINARY_SOFT,7200,11,11,True,75,True,371,COVERED
S005-FOD-01,S005,8,0.028,应急食品,ORDINARY_SOFT,14400,12,12,True,203,True,1104,COVERED
S005-HYG-01,S005,6,0.035,生活卫生用品,ORDINARY_SOFT,18000,12,12,True,204,True,1141,COVERED
S005-MED-01,S005,3,0.012,医疗物资,MEDICAL_HARD,10800,12,12,True,205,True,1166,COVERED
S005-WAT-01,S005,14,0.027,饮用水,FIRST_BATCH_HARD,10800,12,12,True,192,True,1037,COVERED
S005-WAT-02,S005,14,0.027,饮用水,ORDINARY_SOFT,10800,12,12,True,192,True,1037,COVERED
S005-WAT-03,S005,14,0.027,饮用水,ORDINARY_SOFT,10800,12,12,True,192,True,1037,COVERED
S006-FOD-01,S006,8,0.028,应急食品,ORDINARY_SOFT,7200,12,12,True,162,True,856,COVERED
S006-HYG-01,S006,6,0.035,生活卫生用品,ORDINARY_SOFT,10800,12,12,True,164,True,869,COVERED
S006-MED-01,S006,3,0.012,医疗物资,MEDICAL_HARD,3600,12,12,True,170,True,891,COVERED
S006-WAT-01,S006,14,0.027,饮用水,FIRST_BATCH_HARD,3600,12,12,True,145,True,777,COVERED
S006-WAT-02,S006,14,0.027,饮用水,ORDINARY_SOFT,3600,12,12,True,145,True,777,COVERED
S006-WAT-03,S006,14,0.027,饮用水,ORDINARY_SOFT,3600,12,12,True,145,True,777,COVERED
S007-FOD-01,S007,8,0.028,应急食品,ORDINARY_SOFT,7200,12,12,True,150,True,675,COVERED
S007-HYG-01,S007,6,0.035,生活卫生用品,ORDINARY_SOFT,10800,12,12,True,152,True,696,COVERED
S007-MED-01,S007,3,0.012,医疗物资,MEDICAL_HARD,3600,12,12,True,153,True,711,COVERED
S007-WAT-01,S007,14,0.027,饮用水,FIRST_BATCH_HARD,3600,12,12,True,138,True,630,COVERED
S007-WAT-02,S007,14,0.027,饮用水,ORDINARY_SOFT,3600,12,12,True,138,True,630,COVERED
S008-FOD-01,S008,8,0.028,应急食品,ORDINARY_SOFT,10800,12,12,True,79,True,359,COVERED
S008-HYG-01,S008,6,0.035,生活卫生用品,ORDINARY_SOFT,14400,12,12,True,81,True,367,COVERED
S008-MED-01,S008,3,0.012,医疗物资,MEDICAL_HARD,7200,12,12,True,85,True,385,COVERED
S008-WAT-01,S008,14,0.027,饮用水,FIRST_BATCH_HARD,7200,12,12,True,75,True,323,COVERED
S008-WAT-02,S008,14,0.027,饮用水,ORDINARY_SOFT,7200,12,12,True,75,True,323,COVERED
S009-FOD-01,S009,8,0.028,应急食品,ORDINARY_SOFT,14400,12,12,True,174,True,503,COVERED
S009-MED-01,S009,3,0.012,医疗物资,MEDICAL_HARD,10800,12,12,True,183,True,520,COVERED
S009-WAT-01,S009,14,0.027,饮用水,FIRST_BATCH_HARD,10800,12,12,True,165,True,481,COVERED
S010-FOD-01,S010,8,0.028,应急食品,ORDINARY_SOFT,7200,12,12,True,127,True,377,COVERED
S010-MED-01,S010,3,0.012,医疗物资,MEDICAL_HARD,3600,12,12,True,133,True,388,COVERED
S010-WAT-01,S010,14,0.027,饮用水,FIRST_BATCH_HARD,3600,12,12,True,121,True,364,COVERED
S011-FOD-01,S011,8,0.028,应急食品,ORDINARY_SOFT,14400,12,12,True,241,True,706,COVERED
S011-MED-01,S011,3,0.012,医疗物资,MEDICAL_HARD,10800,12,12,True,244,True,723,COVERED
S011-WAT-01,S011,14,0.027,饮用水,FIRST_BATCH_HARD,10800,12,12,True,230,True,684,COVERED
S012-FOD-01,S012,8,0.028,应急食品,ORDINARY_SOFT,7200,0,0,False,0,False,0,NO_COMM_IN_EDGE
S012-MED-01,S012,3,0.012,医疗物资,MEDICAL_HARD,7200,0,0,False,0,False,0,NO_COMM_IN_EDGE
