box_id,service_id,mass,volume,category,hard_deadline_type,deadline,communication_feasible_in_count,communication_feasible_out_count,communication_cycle,singleton_candidate_count,singleton_present_in_pool,candidate_count,failure_reason
S001-FOD-01,S001,8,0.028,应急食品,ORDINARY_SOFT,7200,15,15,True,320,True,4382,COVERED
S001-FOD-02,S001,8,0.028,应急食品,ORDINARY_SOFT,7200,15,15,True,320,True,4382,COVERED
S001-FOD-03,S001,8,0.028,应急食品,ORDINARY_SOFT,7200,15,15,True,320,True,4382,COVERED
S001-HYG-01,S001,6,0.035,生活卫生用品,ORDINARY_SOFT,10800,15,15,True,321,True,4447,COVERED
S001-HYG-02,S001,6,0.035,生活卫生用品,ORDINARY_SOFT,10800,15,15,True,321,True,4447,COVERED
S001-MED-01,S001,3,0.012,医疗物资,MEDICAL_HARD,3600,15,15,True,327,True,4572,COVERED
S001-MED-02,S001,3,0.012,医疗物资,MEDICAL_HARD,3600,15,15,True,327,True,4572,COVERED
S001-WAT-01,S001,14,0.027,饮用水,FIRST_BATCH_HARD,3600,15,15,True,299,True,4110,COVERED
S001-WAT-02,S001,14,0.027,饮用水,ORDINARY_SOFT,3600,15,15,True,299,True,4110,COVERED
S001-WAT-03,S001,14,0.027,饮用水,ORDINARY_SOFT,3600,15,15,True,299,True,4110,COVERED
S001-WAT-04,S001,14,0.027,饮用水,ORDINARY_SOFT,3600,15,15,True,299,True,4110,COVERED
S001-WAT-05,S001,14,0.027,饮用水,ORDINARY_SOFT,3600,15,15,True,299,True,4110,COVERED
S001-WAT-06,S001,14,0.027,饮用水,ORDINARY_SOFT,3600,15,15,True,299,True,4110,COVERED
S001-WAT-07,S001,14,0.027,饮用水,ORDINARY_SOFT,3600,15,15,True,299,True,4110,COVERED
S001-WAT-08,S001,14,0.027,饮用水,ORDINARY_SOFT,3600,15,15,True,299,True,4110,COVERED
S002-FOD-01,S002,8,0.028,应急食品,ORDINARY_SOFT,7200,15,15,True,129,True,875,COVERED
S002-FOD-02,S002,8,0.028,应急食品,ORDINARY_SOFT,7200,15,15,True,129,True,875,COVERED
S002-HYG-01,S002,6,0.035,生活卫生用品,ORDINARY_SOFT,10800,15,15,True,134,True,916,COVERED
S002-MED-01,S002,3,0.012,医疗物资,MEDICAL_HARD,3600,15,15,True,143,True,963,COVERED
S002-WAT-01,S002,14,0.027,饮用水,FIRST_BATCH_HARD,3600,15,15,True,117,True,796,COVERED
S002-WAT-02,S002,14,0.027,饮用水,ORDINARY_SOFT,3600,15,15,True,117,True,796,COVERED
S002-WAT-03,S002,14,0.027,饮用水,ORDINARY_SOFT,3600,15,15,True,117,True,796,COVERED
S002-WAT-04,S002,14,0.027,饮用水,ORDINARY_SOFT,3600,15,15,True,117,True,796,COVERED
S003-FOD-01,S003,8,0.028,应急食品,ORDINARY_SOFT,10800,15,15,True,68,True,483,COVERED
S003-FOD-02,S003,8,0.028,应急食品,ORDINARY_SOFT,10800,15,15,True,68,True,483,COVERED
S003-HYG-01,S003,6,0.035,生活卫生用品,ORDINARY_SOFT,14400,15,15,True,70,True,500,COVERED
S003-MED-01,S003,3,0.012,医疗物资,MEDICAL_HARD,7200,15,15,True,71,True,515,COVERED
S003-WAT-01,S003,14,0.027,饮用水,FIRST_BATCH_HARD,7200,15,15,True,63,True,445,COVERED
S003-WAT-02,S003,14,0.027,饮用水,ORDINARY_SOFT,7200,15,15,True,63,True,445,COVERED
S003-WAT-03,S003,14,0.027,饮用水,ORDINARY_SOFT,7200,15,15,True,63,True,445,COVERED
S003-WAT-04,S003,14,0.027,饮用水,ORDINARY_SOFT,7200,15,15,True,63,True,445,COVERED
S004-FOD-01,S004,8,0.028,应急食品,ORDINARY_SOFT,10800,14,14,True,109,True,554,COVERED
S004-HYG-01,S004,6,0.035,生活卫生用品,ORDINARY_SOFT,14400,14,14,True,114,True,567,COVERED
S004-MED-01,S004,3,0.012,医疗物资,MEDICAL_HARD,7200,14,14,True,117,True,591,COVERED
S004-WAT-01,S004,14,0.027,饮用水,FIRST_BATCH_HARD,7200,14,14,True,96,True,484,COVERED
S004-WAT-02,S004,14,0.027,饮用水,ORDINARY_SOFT,7200,14,14,True,96,True,484,COVERED
S004-WAT-03,S004,14,0.027,饮用水,ORDINARY_SOFT,7200,14,14,True,96,True,484,COVERED
S005-FOD-01,S005,8,0.028,应急食品,ORDINARY_SOFT,14400,15,15,True,260,True,1390,COVERED
S005-HYG-01,S005,6,0.035,生活卫生用品,ORDINARY_SOFT,18000,15,15,True,263,True,1439,COVERED
S005-MED-01,S005,3,0.012,医疗物资,MEDICAL_HARD,10800,15,15,True,265,True,1479,COVERED
S005-WAT-01,S005,14,0.027,饮用水,FIRST_BATCH_HARD,10800,15,15,True,244,True,1286,COVERED
S005-WAT-02,S005,14,0.027,饮用水,ORDINARY_SOFT,10800,15,15,True,244,True,1286,COVERED
S005-WAT-03,S005,14,0.027,饮用水,ORDINARY_SOFT,10800,15,15,True,244,True,1286,COVERED
S006-FOD-01,S006,8,0.028,应急食品,ORDINARY_SOFT,7200,15,15,True,193,True,1008,COVERED
S006-HYG-01,S006,6,0.035,生活卫生用品,ORDINARY_SOFT,10800,15,15,True,197,True,1027,COVERED
S006-MED-01,S006,3,0.012,医疗物资,MEDICAL_HARD,3600,15,15,True,204,True,1056,COVERED
S006-WAT-01,S006,14,0.027,饮用水,FIRST_BATCH_HARD,3600,15,15,True,171,True,910,COVERED
S006-WAT-02,S006,14,0.027,饮用水,ORDINARY_SOFT,3600,15,15,True,171,True,910,COVERED
S006-WAT-03,S006,14,0.027,饮用水,ORDINARY_SOFT,3600,15,15,True,171,True,910,COVERED
S007-FOD-01,S007,8,0.028,应急食品,ORDINARY_SOFT,7200,15,15,True,175,True,792,COVERED
S007-HYG-01,S007,6,0.035,生活卫生用品,ORDINARY_SOFT,10800,15,15,True,179,True,815,COVERED
S007-MED-01,S007,3,0.012,医疗物资,MEDICAL_HARD,3600,15,15,True,185,True,839,COVERED
S007-WAT-01,S007,14,0.027,饮用水,FIRST_BATCH_HARD,3600,15,15,True,161,True,741,COVERED
S007-WAT-02,S007,14,0.027,饮用水,ORDINARY_SOFT,3600,15,15,True,161,True,741,COVERED
S008-FOD-01,S008,8,0.028,应急食品,ORDINARY_SOFT,10800,15,15,True,79,True,359,COVERED
S008-HYG-01,S008,6,0.035,生活卫生用品,ORDINARY_SOFT,14400,15,15,True,81,True,367,COVERED
S008-MED-01,S008,3,0.012,医疗物资,MEDICAL_HARD,7200,15,15,True,87,True,387,COVERED
