sortie_id,service_area,certification_pass,relay_id,q2_schedule_found,binding_pass
SENS19-001,S001,True,R01,True,True
SENS19-002,S002,True,R02,True,True
SENS19-003,S006,True,R02,True,True
SENS19-004,S007,True,R02,True,True
SENS19-005,S010,True,R01,True,True
SENS19-006,S012,True,R01,True,True
SENS19-007,S013,True,R01,True,True
SENS19-008,S014,True,R01,True,True
SENS19-009,S003,True,R02,True,True
SENS19-010,S004,True,R01,True,True
SENS19-011,S008,True,R01,True,True
SENS19-012,S015,True,R01,True,True
SENS19-013,S005,True,R01,True,True
SENS19-014,S009,True,R01,True,True
SENS19-015,S011,True,R02,True,True
SENS19-016,S001,True,R02,True,True
SENS19-017,S001,True,R01,True,True
SENS19-018,S002,True,R02,True,True
SENS19-019,S003,True,R02,True,True
