resource,sortie,start_s,end_s
transport:U07,SENS19-001,0.0,1561.4332394931612
battery:C-B01,SENS19-001,0.0,3187.3109623674864
service:S001,SENS19-001,816.9016197465803,1248.9016197465803
relay:R01,SENS19-001,0.0,1861.4332394931612
transport:U08,SENS19-002,0.0,2111.041173414566
battery:C-B02,SENS19-002,0.0,4650.885216066781
service:S002,SENS19-002,1092.930586707283,1488.930586707283
relay:R02,SENS19-002,0.0,2411.041173414566
transport:U07,SENS19-003,1561.4332394931612,3122.2958762131275
battery:C-B03,SENS19-003,1561.4332394931612,4658.163301248845
service:S006,SENS19-003,2374.5095578531445,2770.5095578531445
relay:R02,SENS19-003,1381.4332394931612,3422.2958762131275
transport:U08,SENS19-004,2111.041173414566,4018.557812801536
battery:C-B04,SENS19-004,2111.041173414566,5775.603616277208
service:S007,SENS19-004,3098.7594931080507,3458.7594931080507
relay:R02,SENS19-004,1931.041173414566,4318.557812801536
transport:U05,SENS19-005,0.0,1554.5963098536845
battery:B-B01,SENS19-005,0.0,3010.411224025971
service:S010,SENS19-005,844.8348215935089,1084.8348215935089
relay:R01,SENS19-005,0.0,1854.5963098536845
transport:U06,SENS19-006,0.0,1923.889339007083
battery:B-B02,SENS19-006,0.0,3784.593839025665
service:S012,SENS19-006,1031.8746695035416,1271.8746695035416
relay:R01,SENS19-006,0.0,2223.889339007083
transport:U05,SENS19-007,1554.5963098536845,3065.036860578557
battery:B-B03,SENS19-007,1554.5963098536845,4522.395904223762
service:S013,SENS19-007,2377.349918549454,2617.349918549454
relay:R01,SENS19-007,1374.5963098536845,3365.036860578557
transport:U06,SENS19-008,1923.889339007083,3792.4790096968018
battery:B-B04,SENS19-008,1923.889339007083,5385.301904198814
service:S014,SENS19-008,2925.740841018609,3165.740841018609
relay:R01,SENS19-008,1743.889339007083,4092.4790096968018
transport:U07,SENS19-009,3187.3109623674864,5623.208873982598
battery:C-B01,SENS19-009,3187.3109623674864,8168.981091064019
service:S003,SENS19-009,4436.719918175042,4832.719918175042
relay:R02,SENS19-009,3007.3109623674864,5923.208873982598
transport:U08,SENS19-010,4650.885216066781,6956.073192148747
battery:C-B02,SENS19-010,4650.885216066781,9462.326005507899
service:S004,SENS19-010,5840.449204107764,6236.449204107764
relay:R01,SENS19-010,4470.885216066781,7256.073192148747
transport:U07,SENS19-011,5623.208873982598,7826.983631519628
battery:C-B03,SENS19-011,5623.208873982598,10246.743748104487
service:S008,SENS19-011,6762.936252751113,7122.936252751113
relay:R01,SENS19-011,5443.208873982598,8126.983631519628
transport:U05,SENS19-012,3065.036860578557,4894.663106202548
battery:B-B01,SENS19-012,3065.036860578557,6562.782314711138
service:S015,SENS19-012,4043.289983390553,4283.289983390553
relay:R01,SENS19-012,2885.036860578557,5194.663106202548
transport:U08,SENS19-013,6956.073192148747,8836.119112084927
battery:C-B04,SENS19-013,6956.073192148747,10817.455849611857
service:S005,SENS19-013,7934.731152116838,8330.731152116838
relay:R01,SENS19-013,6776.073192148747,9136.119112084927
transport:U06,SENS19-014,3792.4790096968018,5353.281770897713
battery:B-B02,SENS19-014,3792.4790096968018,6931.039038969422
service:S009,SENS19-014,4644.470390297258,4884.470390297258
relay:R01,SENS19-014,3612.4790096968018,5653.281770897713
transport:U05,SENS19-015,4894.663106202548,6084.298669494842
battery:B-B03,SENS19-015,4894.663106202548,7217.7456323388815
service:S011,SENS19-015,5561.667554515361,5801.667554515361
relay:R02,SENS19-015,4714.663106202548,6384.298669494842
transport:U07,SENS19-016,8168.981091064019,9532.41433055718
battery:C-B01,SENS19-016,8168.981091064019,10993.112628086732
service:S001,SENS19-016,8895.8827108106,9219.8827108106
relay:R02,SENS19-016,7988.981091064019,9832.41433055718
transport:U08,SENS19-017,9462.3260055079,10825.75924500106
battery:C-B02,SENS19-017,9462.3260055079,12222.67194596375
service:S001,SENS19-017,10189.22762525448,10513.22762525448
relay:R01,SENS19-017,9282.3260055079,11125.75924500106
transport:U06,SENS19-018,5385.301904198814,7145.224992896583
battery:B-B04,SENS19-018,5385.301904198814,8838.340739686391
service:S002,SENS19-018,6337.203448547698,6547.203448547698
relay:R02,SENS19-018,5205.301904198814,7445.224992896583
transport:U05,SENS19-019,6562.782314711138,8583.112180265052
battery:B-B01,SENS19-019,6562.782314711138,10300.036485988816
service:S003,SENS19-019,7640.920580821427,7850.920580821427
relay:R02,SENS19-019,6382.782314711138,8883.112180265052
