scenario,K,group,services,sorties,box_count,completion_time_s,energy_kwh,relay_peak,transport_peak,B_battery_peak,C_battery_peak,service_peak_global,service_peak_per_station
original_baseline,2,1,"S001,S003,S005,S007,S009,S011,S013,S015",10,46,8516.620007576663,29.642418077939524,5,3,3,3,3,2
original_baseline,2,2,"S002,S004,S006,S008,S010,S012,S014",8,34,10128.488566108414,30.01203944237031,4,2,2,3,2,1
original_baseline,3,1,"S001,S004,S007,S010,S013",6,32,8516.620007576663,19.164411946459836,3,2,2,2,2,2
original_baseline,3,2,"S002,S005,S008,S011,S014",6,25,10128.488566108414,21.980517782211383,3,2,2,2,1,1
original_baseline,3,3,"S003,S006,S009,S012,S015",6,23,8238.549914319254,18.509527791638618,3,3,2,2,2,1
resource_adjusted,2,1,"S001,S003,S005,S007,S009,S011,S013,S015",10,46,15595.992163399396,29.642418077939524,3,2,2,2,2,2
resource_adjusted,2,2,"S002,S004,S006,S008,S010,S012,S014",8,34,17581.034724922953,30.01203944237031,3,2,2,2,2,1
resource_adjusted,3,1,"S001,S004,S007,S010,S013",6,32,15595.992163399396,19.164411946459836,2,2,1,2,2,2
resource_adjusted,3,2,"S002,S005,S008,S011,S014",6,25,17581.034724922953,21.980517782211383,2,2,1,1,1,1
resource_adjusted,3,3,"S003,S006,S009,S012,S015",6,23,15377.259967385922,18.509527791638618,2,2,2,1,1,1
joint_deadline_first,2,1,"S001,S003,S005,S007,S009,S011,S013,S015",10,46,17172.0813959778,29.642418077939528,3,2,2,2,2,2
joint_deadline_first,2,2,"S002,S004,S006,S008,S010,S012,S014",8,34,14444.14273114364,30.01203944237031,3,2,2,2,1,1
joint_deadline_first,3,1,"S001,S004,S007,S010,S013",6,32,12272.773667125331,19.164411946459833,3,2,2,2,2,2
joint_deadline_first,3,2,"S002,S005,S008,S011,S014",6,25,17172.0813959778,21.980517782211383,2,2,1,2,1,1
joint_deadline_first,3,3,"S003,S006,S009,S012,S015",6,23,16004.945492344552,18.509527791638615,2,2,2,1,1,1
final_unified_checkpoint,2,1,"S001,S003,S005,S007,S009,S011,S013,S015",10,46,98669.59708634084,29.642418077939524,2,2,3,2,2,1
final_unified_checkpoint,2,2,"S002,S004,S006,S008,S010,S012,S014",8,34,96562.16384684767,30.01203944237031,2,2,2,2,1,1
final_unified_checkpoint,3,1,"S001,S004,S007,S010,S013",6,32,98669.59708634084,19.164411946459836,2,2,2,1,2,1
final_unified_checkpoint,3,2,"S002,S005,S008,S011,S014",6,25,96562.16384684767,21.980517782211383,2,1,1,1,1,1
final_unified_checkpoint,3,3,"S003,S006,S009,S012,S015",6,23,94322.2407581499,18.509527791638618,1,1,2,1,1,1
