K,group,services,resource,peak_occupancy,peak_time_s,capacity,violates,sorties,interval_start_s,interval_end_s,peak_end_s,schedule_adjustment
2,1,"S001,S003,S005,S007,S009,S011,S013,S015",transport_aircraft_all,2,366.0,8,False,10,0.0,15595.992163399396,,earliest_relay_slot
2,1,"S001,S003,S005,S007,S009,S011,S013,S015",A_aircraft,0,0.0,4,False,0,0.0,15595.992163399396,,earliest_relay_slot
2,1,"S001,S003,S005,S007,S009,S011,S013,S015",A_battery,0,0.0,6,False,0,0.0,15595.992163399396,,earliest_relay_slot
2,1,"S001,S003,S005,S007,S009,S011,S013,S015",B_aircraft,1,1993.4332394931612,2,False,5,0.0,15595.992163399396,,earliest_relay_slot
2,1,"S001,S003,S005,S007,S009,S011,S013,S015",B_battery,1,1993.4332394931612,4,False,5,0.0,15595.992163399396,,earliest_relay_slot
2,1,"S001,S003,S005,S007,S009,S011,S013,S015",C_aircraft,2,366.0,2,False,5,0.0,15595.992163399396,,earliest_relay_slot
2,1,"S001,S003,S005,S007,S009,S011,S013,S015",C_battery,2,366.0,4,False,5,0.0,15595.992163399396,,earliest_relay_slot
2,1,"S001,S003,S005,S007,S009,S011,S013,S015",relay_aircraft,2,366.0,2,False,2,0.0,15595.992163399396,,earliest_relay_slot
2,1,S001,service_station,1,1248.9016197465805,1,False,2,1248.9016197465805,2148.9016197465808,2148.9016197465808,earliest_relay_slot
2,1,S003,service_station,1,3281.5715056034514,1,False,2,3281.5715056034514,6055.172060854631,6055.172060854631,earliest_relay_slot
2,1,S005,service_station,1,11481.383125073875,1,False,1,11481.383125073875,11877.383125073875,11877.383125073875,earliest_relay_slot
2,1,S007,service_station,1,15036.19384370591,1,False,1,15036.19384370591,15396.19384370591,15396.19384370591,earliest_relay_slot
2,1,S009,service_station,1,6524.388882205951,1,False,1,6524.388882205951,6764.388882205951,6764.388882205951,earliest_relay_slot
2,1,S011,service_station,1,7900.2047111192205,1,False,1,7900.2047111192205,8140.2047111192205,8140.2047111192205,earliest_relay_slot
2,1,S013,service_station,1,11372.198911293606,1,False,1,11372.198911293606,11612.198911293606,11612.198911293606,earliest_relay_slot
2,1,S015,service_station,1,14765.886844573928,1,False,1,14765.886844573928,15005.886844573928,15005.886844573928,earliest_relay_slot
2,2,"S002,S004,S006,S008,S010,S012,S014",transport_aircraft_all,2,8182.835826098702,8,False,8,1561.4332394931612,17581.034724922953,,earliest_relay_slot
2,2,"S002,S004,S006,S008,S010,S012,S014",A_aircraft,0,0.0,4,False,0,1561.4332394931612,17581.034724922953,,earliest_relay_slot
2,2,"S002,S004,S006,S008,S010,S012,S014",A_battery,0,0.0,6,False,0,1561.4332394931612,17581.034724922953,,earliest_relay_slot
2,2,"S002,S004,S006,S008,S010,S012,S014",B_aircraft,1,1561.4332394931612,2,False,4,1561.4332394931612,17581.034724922953,,earliest_relay_slot
2,2,"S002,S004,S006,S008,S010,S012,S014",B_battery,1,1561.4332394931612,4,False,4,1561.4332394931612,17581.034724922953,,earliest_relay_slot
2,2,"S002,S004,S006,S008,S010,S012,S014",C_aircraft,1,3321.35632819093,2,False,4,1561.4332394931612,17581.034724922953,,earliest_relay_slot
2,2,"S002,S004,S006,S008,S010,S012,S014",C_battery,1,3321.35632819093,4,False,4,1561.4332394931612,17581.034724922953,,earliest_relay_slot
2,2,"S002,S004,S006,S008,S010,S012,S014",relay_aircraft,2,8182.835826098702,2,False,2,1561.4332394931612,17581.034724922953,,earliest_relay_slot
2,2,S002,service_station,1,2723.334783842046,1,False,2,2723.334783842046,5206.286914898214,5206.286914898214,earliest_relay_slot
2,2,S004,service_station,1,9589.821314556855,1,False,1,9589.821314556855,9985.821314556855,9985.821314556855,earliest_relay_slot
2,2,S006,service_station,1,13195.847403401947,1,False,1,13195.847403401947,13591.847403401947,13591.847403401947,earliest_relay_slot
2,2,S008,service_station,1,16876.987346154438,1,False,1,16876.987346154438,17236.987346154438,17236.987346154438,earliest_relay_slot
2,2,S010,service_station,1,7534.495838255696,1,False,1,7534.495838255696,7774.495838255696,7774.495838255696,earliest_relay_slot
2,2,S012,service_station,1,9454.710495602243,1,False,1,9454.710495602243,9694.710495602243,9694.710495602243,earliest_relay_slot
2,2,S014,service_station,1,13061.737355334235,1,False,1,13061.737355334235,13301.737355334235,13301.737355334235,earliest_relay_slot
