sortie_id,service_area,relay_feasible,segment1_pixels,segment2_pixels,certification_record_pass,record_binding_pass
Q2-001,S001,True,137,139,True,True
Q2-002,S001,True,137,139,True,True
Q2-003,S002,True,163,487,True,True
Q2-004,S002,True,163,487,True,True
Q2-005,S003,True,341,339,True,True
Q2-006,S003,True,341,339,True,True
Q2-007,S004,True,277,279,True,True
Q2-008,S005,True,91,275,True,True
Q2-009,S006,True,61,175,True,True
Q2-010,S007,True,321,109,True,True
Q2-011,S008,True,163,483,True,True
Q2-012,S009,True,129,381,True,True
Q2-013,S010,True,103,307,True,True
Q2-014,S011,True,125,125,True,True
Q2-015,S012,True,179,533,True,True
Q2-016,S013,True,117,343,True,True
Q2-017,S014,True,205,205,True,True
Q2-018,S015,True,287,289,True,True
