sortie,aircraft,type,battery,box_ids,start_s,service,delivery_s,handoff_s,return_s,energy_kwh,soc_return,hard_ok,adjusted_hard_ok_diagnostic
Q2-001,U07,C,C-B01,"['S001-MED-01', 'S001-MED-02', 'S001-WAT-01', 'S001-WAT-02', 'S001-WAT-03', 'S001-WAT-04', 'S001-WAT-05']",0.0,S001,1248.9016197465805,432,1561.4332394931612,2.9263177459975083,0.6342102817503115,True,True
Q2-002,U08,C,C-B02,"['S001-WAT-06', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-01', 'S001-HYG-02']",366.0,S001,1680.9016197465805,468,1993.4332394931612,3.004744020262608,0.624406997467174,True,True
Q2-003,U05,B,B-B01,"['S002-FOD-02', 'S002-HYG-01']",1561.4332394931612,S002,2723.334783842046,210,3321.35632819093,2.368728646438021,0.4078178383904948,True,True
Q2-004,U07,C,C-B03,"['S002-MED-01', 'S002-WAT-01', 'S002-WAT-02', 'S002-WAT-03', 'S002-WAT-04', 'S002-FOD-01']",3321.35632819093,S002,4810.286914898214,396,5432.397501605496,6.300962619023563,0.2123796726220546,True,False
Q2-005,U06,B,B-B02,"['S003-FOD-02', 'S003-HYG-01']",1993.4332394931612,S003,3281.5715056034514,210,4013.763105047075,2.423671474747147,0.39408213131321324,True,True
Q2-006,U08,C,C-B04,"['S003-MED-01', 'S003-WAT-01', 'S003-WAT-02', 'S003-WAT-03', 'S003-WAT-04', 'S003-FOD-01']",4013.763105047075,S003,5659.172060854631,396,6449.661016662187,6.322851263069863,0.20964359211626715,True,True
Q2-007,U07,C,C-B01,"['S004-MED-01', 'S004-WAT-01', 'S004-WAT-02', 'S004-WAT-03', 'S004-FOD-01', 'S004-HYG-01']",8004.257326515872,S004,9589.821314556855,396,10309.445302597836,6.176933464710716,0.22788331691116048,True,False
Q2-008,U08,C,C-B02,"['S005-MED-01', 'S005-WAT-01', 'S005-WAT-02', 'S005-WAT-03', 'S005-FOD-01', 'S005-HYG-01']",10106.725165105785,S005,11481.383125073875,396,11986.771085041964,4.238781800099432,0.47015227498757095,True,False
Q2-009,U08,C,C-B03,"['S006-MED-01', 'S006-WAT-01', 'S006-WAT-02', 'S006-WAT-03', 'S006-FOD-01', 'S006-HYG-01']",11986.771085041964,S006,13195.847403401947,396,13547.633721761931,2.59397203090111,0.6757534961373612,False,False
Q2-010,U07,C,C-B04,"['S007-MED-01', 'S007-WAT-01', 'S007-WAT-02', 'S007-FOD-01', 'S007-HYG-01']",13688.475524012427,S007,15036.19384370591,360,15595.992163399396,3.410630658987098,0.5736711676266127,False,False
Q2-011,U08,C,C-B02,"['S008-MED-01', 'S008-WAT-01', 'S008-WAT-02', 'S008-FOD-01', 'S008-HYG-01']",15377.259967385922,S008,16876.987346154438,360,17581.034724922953,5.8575758150825585,0.2678030231146802,False,False
Q2-012,U05,B,B-B03,"['S009-MED-01', 'S009-WAT-01', 'S009-FOD-01']",5432.397501605496,S009,6524.388882205951,240,6993.200262806407,2.1025167724731753,0.4743708068817062,True,True
Q2-013,U06,B,B-B04,"['S010-MED-01', 'S010-WAT-01', 'S010-FOD-01']",6449.661016662187,S010,7534.495838255696,240,8004.257326515872,1.8211113403975845,0.5447221649006039,True,False
Q2-014,U05,B,B-B01,"['S011-MED-01', 'S011-WAT-01', 'S011-FOD-01']",6993.200262806407,S011,7900.2047111192205,240,8182.835826098702,1.0771852988708592,0.7307036752822852,True,True
Q2-015,U06,B,B-B02,"['S012-MED-01', 'S012-WAT-01', 'S012-FOD-01']",8182.835826098702,S012,9454.710495602243,240,10106.725165105785,2.7554719231198046,0.31113201922004885,False,False
Q2-016,U05,B,B-B03,"['S013-MED-01', 'S013-WAT-01', 'S013-FOD-01']",10309.445302597836,S013,11372.198911293606,240,11819.885853322708,1.8246747161043195,0.5438313209739201,False,False
Q2-017,U06,B,B-B04,"['S014-MED-01', 'S014-WAT-01', 'S014-FOD-01']",11819.885853322708,S014,13061.737355334235,240,13688.475524012427,2.13728360269695,0.46567909932576246,False,False
Q2-018,U05,B,B-B01,"['S015-MED-01', 'S015-WAT-01', 'S015-FOD-01']",13547.633721761931,S015,14765.886844573928,240,15377.259967385922,2.3110443273275134,0.42223891816812165,False,False
