box_id,sortie,service,completion_s,hard_ok
S001-MED-01,Q2-001,S001,1248.9016197465805,True
S001-MED-02,Q2-001,S001,1248.9016197465805,True
S001-WAT-01,Q2-001,S001,1248.9016197465805,True
S001-WAT-02,Q2-001,S001,1248.9016197465805,True
S001-WAT-03,Q2-001,S001,1248.9016197465805,True
S001-WAT-04,Q2-001,S001,1248.9016197465805,True
S001-WAT-05,Q2-001,S001,1248.9016197465805,True
S001-WAT-06,Q2-002,S001,1680.9016197465805,True
S001-WAT-07,Q2-002,S001,1680.9016197465805,True
S001-WAT-08,Q2-002,S001,1680.9016197465805,True
S001-FOD-01,Q2-002,S001,1680.9016197465805,True
S001-FOD-02,Q2-002,S001,1680.9016197465805,True
S001-FOD-03,Q2-002,S001,1680.9016197465805,True
S001-HYG-01,Q2-002,S001,1680.9016197465805,True
S001-HYG-02,Q2-002,S001,1680.9016197465805,True
S002-FOD-02,Q2-003,S002,2723.334783842046,True
S002-HYG-01,Q2-003,S002,2723.334783842046,True
S002-MED-01,Q2-004,S002,3482.3638262004442,True
S002-WAT-01,Q2-004,S002,3482.3638262004442,True
S002-WAT-02,Q2-004,S002,3482.3638262004442,True
S002-WAT-03,Q2-004,S002,3482.3638262004442,True
S002-WAT-04,Q2-004,S002,3482.3638262004442,True
S002-FOD-01,Q2-004,S002,3482.3638262004442,True
S006-MED-01,Q2-009,S006,4530.432646550913,False
S006-WAT-01,Q2-009,S006,4530.432646550913,False
S006-WAT-02,Q2-009,S006,4530.432646550913,True
S006-WAT-03,Q2-009,S006,4530.432646550913,True
S006-FOD-01,Q2-009,S006,4530.432646550913,True
S006-HYG-01,Q2-009,S006,4530.432646550913,True
S007-MED-01,Q2-010,S007,5452.192732601212,False
S007-WAT-01,Q2-010,S007,5452.192732601212,False
S007-WAT-02,Q2-010,S007,5452.192732601212,True
S007-FOD-01,Q2-010,S007,5452.192732601212,True
S007-HYG-01,Q2-010,S007,5452.192732601212,True
S010-MED-01,Q2-013,S010,5967.053786504406,False
S010-WAT-01,Q2-013,S010,5967.053786504406,False
S010-FOD-01,Q2-013,S010,5967.053786504406,True
S012-MED-01,Q2-015,S012,7283.865721798238,False
S012-WAT-01,Q2-015,S012,7283.865721798238,False
S012-FOD-01,Q2-015,S012,7283.865721798238,True
S013-MED-01,Q2-016,S013,7499.568883460352,False
S013-WAT-01,Q2-016,S013,7499.568883460352,False
S013-FOD-01,Q2-016,S013,7499.568883460352,True
S014-MED-01,Q2-017,S014,9177.731893313307,False
S014-WAT-01,Q2-017,S014,9177.731893313307,False
S014-FOD-01,Q2-017,S014,9177.731893313307,True
S003-FOD-02,Q2-005,S003,9235.394091599745,True
S003-HYG-01,Q2-005,S003,9235.394091599745,True
S003-MED-01,Q2-006,S003,11449.879017799054,False
S003-WAT-01,Q2-006,S003,11449.879017799054,False
S003-WAT-02,Q2-006,S003,11449.879017799054,True
S003-WAT-03,Q2-006,S003,11449.879017799054,True
S003-WAT-04,Q2-006,S003,11449.879017799054,True
S003-FOD-01,Q2-006,S003,11449.879017799054,True
S004-MED-01,Q2-007,S004,11553.149679084352,False
S004-WAT-01,Q2-007,S004,11553.149679084352,False
S004-WAT-02,Q2-007,S004,11553.149679084352,True
S004-WAT-03,Q2-007,S004,11553.149679084352,True
S004-FOD-01,Q2-007,S004,11553.149679084352,True
S004-HYG-01,Q2-007,S004,11553.149679084352,True
S008-MED-01,Q2-011,S008,13740.095352375125,False
S008-WAT-01,Q2-011,S008,13740.095352375125,False
S008-WAT-02,Q2-011,S008,13740.095352375125,True
S008-FOD-01,Q2-011,S008,13740.095352375125,True
S008-HYG-01,Q2-011,S008,13740.095352375125,True
S015-MED-01,Q2-018,S015,13491.026789937328,False
S015-WAT-01,Q2-018,S015,13491.026789937328,False
S015-FOD-01,Q2-018,S015,13491.026789937328,True
S005-MED-01,Q2-008,S005,15477.057872717416,False
S005-WAT-01,Q2-008,S005,15477.057872717416,False
S005-WAT-02,Q2-008,S005,15477.057872717416,True
S005-WAT-03,Q2-008,S005,15477.057872717416,True
S005-FOD-01,Q2-008,S005,15477.057872717416,True
S005-HYG-01,Q2-008,S005,15477.057872717416,True
S009-MED-01,Q2-012,S009,15536.134111744095,False
S009-WAT-01,Q2-012,S009,15536.134111744095,False
S009-FOD-01,Q2-012,S009,15536.134111744095,True
S011-MED-01,Q2-014,S011,16889.450280998317,False
S011-WAT-01,Q2-014,S011,16889.450280998317,False
S011-FOD-01,Q2-014,S011,16889.450280998317,True
