sortie,aircraft,type,battery,box_ids,start_s,service,delivery_s,handoff_s,return_s,energy_kwh,soc_return,hard_ok,adjusted_hard_ok_diagnostic
Q2-001,U07,C,C-B01,"['S001-MED-01', 'S001-MED-02', 'S001-WAT-01', 'S001-WAT-02', 'S001-WAT-03', 'S001-WAT-04', 'S001-WAT-05']",0.0,S001,1248.9016197465805,432,1561.4332394931612,2.9263177459975083,0.6342102817503115,True,True
Q2-002,U08,C,C-B02,"['S001-WAT-06', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-01', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-01', 'S001-HYG-02']",366.0,S001,1680.9016197465805,468,1993.4332394931612,3.004744020262608,0.624406997467174,True,True
Q2-003,U05,B,B-B01,"['S002-FOD-02', 'S002-HYG-01']",1561.4332394931612,S002,2723.334783842046,210,3321.35632819093,2.368728646438021,0.4078178383904948,True,True
Q2-004,U07,C,C-B03,"['S002-MED-01', 'S002-WAT-01', 'S002-WAT-02', 'S002-WAT-03', 'S002-WAT-04', 'S002-FOD-01']",1993.4332394931612,S002,3482.3638262004442,396,4104.474412907727,6.300962619023563,0.2123796726220546,True,True
Q2-009,U08,C,C-B04,"['S006-MED-01', 'S006-WAT-01', 'S006-WAT-02', 'S006-WAT-03', 'S006-FOD-01', 'S006-HYG-01']",3321.35632819093,S006,4530.432646550913,396,4882.218964910897,2.59397203090111,0.6757534961373612,False,False
Q2-010,U07,C,C-B01,"['S007-MED-01', 'S007-WAT-01', 'S007-WAT-02', 'S007-FOD-01', 'S007-HYG-01']",4104.474412907727,S007,5452.192732601212,360,6011.991052294697,3.410630658987098,0.5736711676266127,False,False
Q2-013,U06,B,B-B02,"['S010-MED-01', 'S010-WAT-01', 'S010-FOD-01']",4882.218964910897,S010,5967.053786504406,240,6436.815274764582,1.8211113403975845,0.5447221649006039,True,False
Q2-015,U05,B,B-B03,"['S012-MED-01', 'S012-WAT-01', 'S012-FOD-01']",6011.991052294697,S012,7283.865721798238,240,7935.88039130178,2.7554719231198046,0.31113201922004885,False,False
Q2-016,U06,B,B-B04,"['S013-MED-01', 'S013-WAT-01', 'S013-FOD-01']",6436.815274764582,S013,7499.568883460352,240,7947.255825489454,1.8246747161043195,0.5438313209739201,False,False
Q2-017,U05,B,B-B01,"['S014-MED-01', 'S014-WAT-01', 'S014-FOD-01']",7935.88039130178,S014,9177.731893313307,240,9804.470061991498,2.13728360269695,0.46567909932576246,False,False
Q2-005,U06,B,B-B02,"['S003-FOD-02', 'S003-HYG-01']",7947.255825489454,S003,9235.394091599745,210,9967.585691043369,2.423671474747147,0.39408213131321324,True,False
Q2-006,U08,C,C-B02,"['S003-MED-01', 'S003-WAT-01', 'S003-WAT-02', 'S003-WAT-03', 'S003-WAT-04', 'S003-FOD-01']",9804.470061991498,S003,11449.879017799054,396,12240.36797360661,6.322851263069863,0.20964359211626715,True,False
Q2-007,U07,C,C-B04,"['S004-MED-01', 'S004-WAT-01', 'S004-WAT-02', 'S004-WAT-03', 'S004-FOD-01', 'S004-HYG-01']",9967.585691043369,S004,11553.149679084352,396,12272.773667125333,6.176933464710716,0.22788331691116048,True,False
Q2-011,U08,C,C-B03,"['S008-MED-01', 'S008-WAT-01', 'S008-WAT-02', 'S008-FOD-01', 'S008-HYG-01']",12240.36797360661,S008,13740.095352375125,360,14444.14273114364,5.8575758150825585,0.2678030231146802,False,False
Q2-018,U05,B,B-B04,"['S015-MED-01', 'S015-WAT-01', 'S015-FOD-01']",12272.773667125333,S015,13491.026789937328,240,14102.399912749326,2.3110443273275134,0.42223891816812165,False,False
Q2-008,U07,C,C-B01,"['S005-MED-01', 'S005-WAT-01', 'S005-WAT-02', 'S005-WAT-03', 'S005-FOD-01', 'S005-HYG-01']",14102.399912749326,S005,15477.057872717416,396,15982.445832685506,4.238781800099432,0.47015227498757095,True,False
Q2-012,U06,B,B-B03,"['S009-MED-01', 'S009-WAT-01', 'S009-FOD-01']",14444.14273114364,S009,15536.134111744095,240,16004.945492344552,2.1025167724731753,0.4743708068817062,True,False
Q2-014,U05,B,B-B01,"['S011-MED-01', 'S011-WAT-01', 'S011-FOD-01']",15982.445832685506,S011,16889.450280998317,240,17172.0813959778,1.0771852988708592,0.7307036752822852,True,False
